  843 distinct saturated colours (dominant > 0.25 linear) at 1753 sites; bar 0.08
  hex      weakest/dominant  sites
  #ff8e40   0.051            1 alpine.ts:100
  #c4342f   0.051            2 prototype3d.ts:3690 life.ts:853
  #2f8fc4   0.051            1 hatgeo.ts:1345
  #c4442f   0.051            1 island.ts:4371
  #e8a83a   0.052            1 mainstreet.ts:168
  #e8903a   0.052            1 mainstreet.ts:169
  #e83a4a   0.052            2 void3d.ts:2419 void3d.ts:2423
  #b03f2a   0.053            1 island.ts:3007
  #8e2620   0.053            2 life.ts:881 nightmarket.ts:52
  #7ec832   0.055            1 palette.ts:161
  #f0a93e   0.055            1 hatgeo.ts:1196
  #e23a48   0.056            1 hatgeo.ts:840
  #e0483a   0.057            2 island.ts:4998 luxe.ts:1263
  #e0a83a   0.057            2 mainstreet.ts:125 mainstreet.ts:629
  #ff5a44   0.058            1 hatgeo.ts:1405
  #2aa9a0   0.058            3 prototype3d.ts:3696 life.ts:855 tailgate.ts:62
  #33c65c   0.059            1 hatgeo.ts:1429
  #b5372e   0.059            1 mainstreet.ts:118
  #b8552f   0.059            1 island.ts:4371
  #2fb8a8   0.059            10 island.ts:4415 island.ts:4449 island.ts:4450 island.ts:4451 …
  #ffb545   0.060            1 alpine.ts:101
  #f5c542   0.060            1 hats.ts:137
  #e0a63c   0.061            1 island.ts:3007
  #8c2a22   0.061            1 mainstreet.ts:1002
  #9c2f27   0.061            1 mainstreet.ts:1001
  #2f9fb5   0.062            1 island.ts:612
  #d88a3a   0.062            1 island.ts:4998
  #d83a3a   0.062            2 life.ts:1321 life.ts:1325
  #ffb347   0.063            4 life.ts:893 life.ts:901 life.ts:903 life.ts:1222
  #d8443c   0.066            25 life.ts:767 life.ts:806 life.ts:831 life.ts:915 …
  #cf6a3a   0.068            1 island.ts:4371
  #ff5a4a   0.068            2 prototype3d.ts:3708 nightmarket.ts:84
  #ffe14a   0.068            1 prototype3d.ts:3764
  #ffd84a   0.068            1 hatgeo.ts:1056
  #ffc24a   0.068            2 hatgeo.ts:1200 hatgeo.ts:1299
  #ff8a4a   0.068            2 life.ts:1549 life.ts:1555
  #ffc44a   0.068            1 luxe.ts:848
  #ffb84a   0.068            1 palette.ts:181
  #8a2440   0.069            3 luxe.ts:932 luxe.ts:1278 luxe.ts:1279
  #e5a942   0.070            1 island.ts:1328
  #f0dc46   0.070            1 palette.ts:200
  #3830ad   0.071            1 hatgeo.ts:1050
  #9a2a3a   0.072            2 mainstreet.ts:927 mainstreet.ts:1169
  #2a8a9a   0.072            1 void3d.ts:2356
  #d8453f   0.072            1 hats.ts:90
  #3fc9d8   0.072            2 life.ts:1886 luxe.ts:46
  #a8622f   0.073            1 island.ts:4833
  #4de8ff   0.074            8 island.ts:4659 void3d.ts:906 void3d.ts:1374 void3d.ts:1374 …
  #ff5a4d   0.074            8 island.ts:4942 island.ts:5035 island.ts:5143 island.ts:5155 …
  #ff4d4d   0.074            1 life.ts:434
  #4da3ff   0.074            5 life.ts:907 life.ts:910 life.ts:1153 life.ts:3725 …
  #ff4d5e   0.074            2 palette.ts:263 palette.ts:263
  #ffd34d   0.074            2 rivals.ts:376 rivals.ts:380
  #4d6bff   0.074            1 rivals.ts:385
  #a96c30   0.074            1 hatgeo.ts:714
  #a86b30   0.075            1 island.ts:3007
  #4ef0ff   0.076            6 island.ts:4550 island.ts:4561 island.ts:4563 island.ts:4593 …
  #c4a03a   0.077            1 life.ts:899
  #c4693a   0.077            9 life.ts:908 life.ts:917 life.ts:1116 life.ts:1370 …
