frame,t_s,pair,sep_px,sep_norm,mid_y
776,12.9167,12-13,199.5,0.9923,1040
777,12.9333,12-13,200.4,0.9968,1047
778,12.9500,12-13,199.1,0.9904,1052
779,12.9667,12-13,198.7,0.9882,1059
780,12.9833,12-13,200.2,0.9956,1066
781,13.0000,12-13,197.6,0.9826,1071
782,13.0167,12-13,194.1,0.9656,1076
783,13.0333,12-13,191.0,0.9500,1081
784,13.0500,12-13,181.2,0.9015,1084
785,13.0667,12-13,170.7,0.8493,1086
786,13.0833,12-13,176.2,0.8764,1097
787,13.1000,12-13,168.0,0.8357,1104
788,13.1167,12-13,159.3,0.7925,1112
789,13.1333,12-13,187.6,0.9330,1140
790,13.1500,12-13,191.7,0.9537,1155
791,13.1667,12-13,234.1,1.1642,1184
792,13.1833,12-13,219.3,1.0908,1183
793,13.2000,12-13,211.2,1.0504,1205
