frame,t_s,scale,peak,dx,dy
776,12.9167,0.8865,15.5,-28,164
777,12.9333,0.9922,17.1,-72,150
778,12.9500,0.9956,17.5,176,-238
779,12.9667,0.9718,19.1,158,-240
780,12.9833,0.9738,19.2,150,-236
781,13.0000,0.9817,18.8,146,-230
782,13.0167,0.9959,17.6,152,-224
783,13.0333,0.9954,18.1,146,-220
784,13.0500,0.9953,19.7,138,-216
785,13.0667,0.9893,21.6,112,-210
786,13.0833,0.9784,24.3,114,-208
787,13.1000,0.9951,25.2,114,-198
788,13.1167,0.9963,26.2,106,-188
789,13.1333,0.9962,34.9,96,-176
790,13.1500,0.9962,35.6,86,-162
791,13.1667,0.9953,33.6,76,-148
792,13.1833,0.9939,50.0,68,-134
793,13.2000,0.9906,51.4,58,-118
794,13.2167,0.9954,45.0,48,-98
795,13.2333,0.9969,61.3,42,-82
796,13.2500,0.9953,60.3,34,-66
797,13.2667,0.9975,99.3,24,-48
798,13.2833,0.9957,91.0,16,-32
799,13.3000,0.9981,148.2,8,-16
800,13.3167,0.9993,463.1,0,0
801,13.3333,0.9933,139.6,-8,14
802,13.3500,0.9927,104.6,-16,30
803,13.3667,0.9864,76.6,-24,44
804,13.3833,0.9808,75.9,-36,58
805,13.4000,0.9805,69.8,-44,72
806,13.4167,0.9291,58.4,-64,88
807,13.4333,0.9960,51.0,-54,96
808,13.4500,0.9783,53.7,-66,108
809,13.4667,0.9694,50.7,-76,120
810,13.4833,0.9711,53.3,-84,132
811,13.5000,0.9380,43.8,-96,138
812,13.5167,0.9458,42.9,-102,150
813,13.5333,0.9504,49.0,-110,160
814,13.5500,0.9506,37.3,-118,170
815,13.5667,0.9388,36.1,-130,178
816,13.5833,0.9439,34.4,-138,188
817,13.6000,0.9506,42.7,-144,198
818,13.6167,0.9439,32.2,-156,206
819,13.6333,0.9358,29.9,-164,216
820,13.6500,0.9378,25.8,-172,224
821,13.6667,0.9337,23.3,-184,234
822,13.6833,0.9349,26.1,-192,242
823,13.7000,0.9322,24.2,-202,250
824,13.7167,0.9570,23.9,-204,256
825,13.7333,0.9607,23.2,-212,264
826,13.7500,0.7000,24.2,180,58
827,13.7667,0.9498,21.5,-230,280
828,13.7833,0.6891,22.7,158,76
829,13.8000,0.8780,22.5,158,68
830,13.8167,0.8804,27.6,128,104
831,13.8333,0.9006,22.5,118,110
832,13.8500,0.8476,20.7,110,116
833,13.8667,0.8104,19.0,126,96
834,13.8833,0.9233,19.2,114,104
835,13.9000,0.8898,20.2,102,114
836,13.9167,0.8308,20.2,92,122
837,13.9333,0.8910,19.0,82,130
838,13.9500,0.9963,18.6,-146,-84
839,13.9667,0.8993,15.1,64,142
840,13.9833,0.9601,20.9,-142,-2
841,14.0000,0.9577,15.0,-202,-72
842,14.0167,0.9802,19.1,-222,-60
843,14.0333,0.7106,15.2,-166,2
844,14.0500,0.9772,14.3,-248,-30
845,14.0667,0.9875,19.0,-268,-24
846,14.0833,0.9439,17.3,-280,-12
847,14.1000,0.9503,16.3,334,108
848,14.1167,0.9306,17.1,226,166
849,14.1333,0.9899,15.9,-278,22
850,14.1500,0.9671,15.4,-296,36
