frame,t_s,dxA,dyA,peakA,dxB,dyB,peakB
442,7.3500,1.85,8.24,173.7,0.03,10.89,87.2
443,7.3667,1.82,8.41,152.3,0.03,11.41,91.2
444,7.3833,1.74,8.30,149.8,0.11,11.47,94.4
445,7.4000,1.74,8.30,152.8,0.03,11.41,72.7
446,7.4167,1.72,8.35,140.8,0.07,11.87,129.3
447,7.4333,1.67,8.54,131.1,-0.01,11.49,99.2
448,7.4500,1.64,8.41,133.7,0.06,11.65,100.0
449,7.4667,1.51,8.22,138.6,0.02,11.86,121.9
450,7.4833,1.52,8.36,124.5,0.01,11.90,121.2
451,7.5000,1.45,8.33,114.9,0.00,12.01,126.3
452,7.5167,1.50,8.20,108.3,-0.02,12.00,110.9
453,7.5333,1.37,8.17,95.2,-0.02,12.00,87.6
454,7.5500,1.32,8.09,98.3,-0.09,12.00,90.0
455,7.5667,0.54,8.61,95.3,-0.10,11.89,68.9
456,7.5833,0.50,8.81,101.8,-0.27,12.47,48.6
457,7.6000,0.46,8.62,111.7,-0.25,12.55,54.3
458,7.6167,0.36,8.39,112.2,0.00,13.41,36.6
459,7.6333,-0.24,11.55,109.4,-2.22,10.67,35.6
460,7.6500,0.07,8.54,105.7,-2.29,10.57,36.3
461,7.6667,-0.00,8.46,116.7,-2.10,10.44,53.9
462,7.6833,-0.11,8.22,123.9,-2.00,10.64,57.2
463,7.7000,-0.10,8.27,119.0,-1.63,11.79,43.4
464,7.7167,-0.21,8.33,124.6,-1.61,11.38,39.6
465,7.7333,-0.27,8.25,124.5,-3.47,10.10,65.5
466,7.7500,-0.00,0.00,470.2,0.00,-0.00,243.2
467,7.7667,-0.00,0.00,470.2,0.00,-0.00,243.2
468,7.7833,-0.00,0.00,470.2,0.00,-0.00,243.2
469,7.8000,0.15,35.19,49.0,-12.05,43.92,21.2
470,7.8167,-0.50,7.93,121.1,-0.22,11.91,78.9
471,7.8333,-0.43,7.89,123.3,-3.57,9.47,54.2
472,7.8500,-0.47,7.87,114.0,-3.37,9.84,41.9
473,7.8667,-1.32,8.11,85.8,-3.88,10.01,79.1
474,7.8833,-2.21,11.18,99.3,-2.07,11.88,64.5
475,7.9000,-7.83,14.24,74.4,-3.89,10.15,71.3
476,7.9167,-1.39,8.58,90.5,-4.20,10.15,89.6
477,7.9333,-1.97,14.40,107.6,-4.29,10.73,53.4
478,7.9500,-1.04,8.27,76.0,-4.09,10.86,60.6
479,7.9667,-1.50,8.27,74.3,-3.76,11.45,48.0
480,7.9833,-3.71,11.66,78.6,-5.70,10.02,98.6
481,8.0000,-1.82,8.71,72.1,-4.09,11.22,32.2
482,8.0167,-2.00,8.61,95.5,-4.15,11.52,43.6
483,8.0333,-2.00,8.72,106.9,-4.11,11.99,29.2
484,8.0500,-2.25,9.09,92.1,-6.07,10.26,29.0
485,8.0667,-2.07,8.61,78.1,-6.60,10.69,17.0
486,8.0833,-3.83,10.39,109.7,-6.04,10.86,55.1
487,8.1000,-2.19,8.55,75.2,-5.66,11.86,19.0
488,8.1167,-2.67,9.03,64.2,-6.10,11.64,29.2
489,8.1333,-3.45,9.52,69.7,-6.03,11.62,29.6
490,8.1500,-3.70,9.33,70.1,-6.00,11.93,22.7
491,8.1667,-3.93,9.58,74.9,-8.29,10.19,13.2
492,8.1833,-4.17,9.51,137.4,-6.26,11.71,55.7
493,8.2000,-3.26,8.89,42.9,-96.04,-69.85,14.3
494,8.2167,0.02,0.03,22.9,-7.09,11.00,25.4
495,8.2333,-0.13,-0.02,36.2,-7.99,11.04,44.9
496,8.2500,-4.46,7.86,60.3,-9.60,9.95,40.2
497,8.2667,-6.07,9.61,78.3,-9.50,10.08,49.9
498,8.2833,-6.11,9.53,169.3,-9.57,9.98,41.7
499,8.3000,-6.01,8.23,122.8,-0.04,-0.01,49.7
500,8.3167,-6.08,8.28,103.9,-9.87,9.97,60.0
501,8.3333,-6.21,8.12,129.3,-0.00,0.00,70.8
502,8.3500,-6.39,8.25,114.6,-7.91,8.10,66.3
503,8.3667,-6.39,8.00,124.8,0.02,0.04,71.1
504,8.3833,-6.71,7.96,90.1,-10.11,9.69,53.2
505,8.4000,0.00,0.07,113.6,-8.34,8.09,71.7
506,8.4167,-0.04,0.09,110.8,-8.49,8.02,68.9
507,8.4333,-0.01,0.07,108.8,-10.12,9.51,66.7
508,8.4500,0.02,0.08,117.4,-0.08,0.16,52.0
509,8.4667,0.01,0.05,132.5,-10.12,9.34,65.6
510,8.4833,-7.61,7.97,124.1,-9.80,8.72,74.3
511,8.5000,-7.70,8.01,175.1,-9.92,8.28,108.7
512,8.5167,-7.56,7.90,141.9,0.02,0.03,100.2
513,8.5333,-7.80,7.96,156.8,0.02,7.47,45.7
514,8.5500,-7.90,7.95,143.9,0.01,0.01,162.2
515,8.5667,-7.93,7.96,169.9,-0.02,-0.00,135.6
516,8.5833,-7.98,7.85,189.7,0.01,0.01,71.7
517,8.6000,-8.02,7.67,154.9,-0.01,-0.01,150.7
518,8.6167,-8.30,7.54,114.9,-0.01,0.01,157.5
519,8.6333,-8.50,7.56,105.6,-0.01,-0.02,133.3
520,8.6500,0.00,-0.02,110.4,0.01,0.01,143.1
521,8.6667,-0.01,-0.01,111.1,-0.00,-0.01,130.5
522,8.6833,-0.07,-0.01,107.3,-0.02,-0.01,149.8
523,8.7000,-0.08,-0.03,112.2,0.01,0.01,139.6
524,8.7167,-10.00,6.84,124.9,-0.00,0.01,147.4
525,8.7333,-10.00,6.38,150.6,0.02,-0.01,137.3
526,8.7500,-10.03,6.22,173.7,0.01,-0.01,146.2
527,8.7667,-10.41,6.35,97.4,-0.00,-0.03,138.5
528,8.7833,-10.11,5.96,146.6,-0.01,-0.00,150.4
529,8.8000,-10.57,6.19,100.5,0.00,-0.02,140.0
530,8.8167,-10.47,6.11,114.1,-0.00,-0.01,158.7
531,8.8333,-10.76,6.11,105.9,0.00,-0.00,156.1
532,8.8500,-10.57,6.12,111.1,0.01,-0.02,147.7
533,8.8667,-10.99,5.94,82.5,0.00,-0.00,137.2
534,8.8833,-10.64,5.94,109.8,-0.00,-0.01,170.5
535,8.9000,-10.64,5.92,101.3,-0.01,-0.00,148.6
536,8.9167,-10.66,5.92,94.1,0.01,0.01,146.8
537,8.9333,-10.62,5.85,100.9,-0.01,-0.00,165.2
538,8.9500,-10.63,5.90,97.2,-0.00,-0.01,161.1
539,8.9667,-10.45,5.89,117.5,-0.00,-0.00,181.3
540,8.9833,-10.36,5.89,126.3,-0.00,0.02,138.8
541,9.0000,-10.45,5.81,114.9,0.00,-0.03,161.6
542,9.0167,-10.29,5.89,133.9,0.01,-0.03,130.2
543,9.0333,-10.31,5.87,140.6,-0.00,-0.01,186.2
544,9.0500,-10.28,5.83,142.8,0.00,-0.01,148.8
545,9.0667,-10.32,5.82,148.2,-0.01,-0.11,91.0
546,9.0833,-10.40,5.85,142.7,-0.00,-0.06,154.7
547,9.1000,-10.37,5.81,142.0,0.01,-0.01,163.7
548,9.1167,-10.43,5.85,133.6,-0.01,-0.00,137.9
549,9.1333,-10.67,5.86,128.6,-0.02,-0.04,131.9
550,9.1500,-10.56,5.92,141.7,0.00,-0.03,149.9
551,9.1667,-10.58,5.83,141.9,0.01,-0.07,110.7
552,9.1833,-10.52,5.91,155.9,0.00,-0.01,163.3
553,9.2000,-10.53,5.92,166.3,-0.01,-0.07,139.9
554,9.2167,-10.53,5.97,167.0,0.00,0.01,144.1
555,9.2333,-10.55,5.96,150.2,-0.01,-0.02,118.6
556,9.2500,-10.40,6.03,167.5,-0.00,-0.01,167.0
557,9.2667,-10.18,6.01,188.4,-0.09,-0.10,97.3
558,9.2833,-10.62,6.18,133.8,0.00,0.01,161.8
559,9.3000,-10.14,6.01,169.8,-0.00,-0.06,141.9
560,9.3167,-10.20,6.15,153.0,-0.01,-0.02,122.7
561,9.3333,-10.28,6.18,142.9,0.00,-0.01,148.0
562,9.3500,-10.17,6.17,151.9,0.00,-0.03,148.9
563,9.3667,-10.31,6.28,133.5,-0.11,-0.02,94.1
564,9.3833,-9.96,6.23,146.9,0.01,-0.01,144.0
565,9.4000,-10.08,6.25,131.8,-0.01,-0.02,130.8
566,9.4167,-10.10,6.23,128.2,-0.00,-0.01,139.7
567,9.4333,-9.97,6.35,123.0,0.01,0.01,115.9
