frame,t_s,scale,peak,dx,dy
776,12.9167,0.9866,10.9,422,244
777,12.9333,0.9906,12.1,464,318
778,12.9500,0.9290,11.4,74,4
779,12.9667,0.9917,10.5,440,-320
780,12.9833,0.9277,10.7,260,286
781,13.0000,0.9957,10.7,4,24
782,13.0167,0.9207,9.8,238,302
783,13.0333,0.9965,10.8,-102,-184
784,13.0500,0.9520,11.5,-14,52
785,13.0667,0.9913,11.5,-126,-174
786,13.0833,0.9705,12.1,-142,-170
787,13.1000,0.9743,14.3,-146,-164
788,13.1167,0.9907,14.8,-152,-150
789,13.1333,0.9505,16.9,-172,-144
790,13.1500,0.9921,17.8,-168,-126
791,13.1667,0.9899,20.7,170,-300
792,13.1833,0.9901,20.2,160,-284
793,13.2000,0.9943,26.7,152,-268
794,13.2167,0.9933,29.9,144,-252
795,13.2333,0.9960,32.9,134,-232
796,13.2500,0.9966,33.6,126,-216
797,13.2667,0.9927,31.3,118,-200
798,13.2833,0.9925,38.1,108,-182
799,13.3000,0.9910,40.6,100,-166
800,13.3167,0.9890,40.8,92,-150
801,13.3333,0.9961,39.9,84,-134
802,13.3500,0.9657,37.8,72,-120
803,13.3667,0.9966,39.7,70,-106
804,13.3833,0.9972,43.2,64,-94
805,13.4000,0.9960,47.6,56,-80
806,13.4167,0.9967,51.4,46,-70
807,13.4333,0.9967,58.5,38,-56
808,13.4500,0.9957,61.2,32,-44
809,13.4667,0.9977,110.9,24,-32
810,13.4833,0.9971,126.8,16,-22
811,13.5000,0.9985,249.2,8,-10
812,13.5167,0.9992,463.1,0,0
813,13.5333,0.9983,269.8,-8,10
814,13.5500,0.9975,196.4,-16,20
815,13.5667,0.9891,149.8,-24,28
816,13.5833,0.9836,137.8,-36,38
817,13.6000,0.9860,141.1,-40,46
818,13.6167,0.9900,112.3,-48,54
819,13.6333,0.9903,102.9,-58,64
820,13.6500,0.9905,99.0,-66,72
821,13.6667,0.9904,93.6,-74,80
822,13.6833,0.9813,88.6,-88,90
823,13.7000,0.9821,84.1,-96,98
824,13.7167,0.9893,86.2,-98,102
825,13.7333,0.9818,70.0,-114,114
826,13.7500,0.9966,70.8,-114,116
827,13.7667,0.9963,59.5,-122,124
828,13.7833,0.9978,77.2,-130,130
829,13.8000,0.9729,54.7,-150,146
830,13.8167,0.9817,47.1,-158,152
831,13.8333,0.9974,61.6,-156,152
832,13.8500,0.9645,36.8,-180,168
833,13.8667,0.9962,34.8,-174,166
834,13.8833,0.9963,32.4,-186,176
835,13.9000,0.9962,28.4,-198,186
836,13.9167,0.9714,28.7,-208,194
837,13.9333,0.9795,27.2,-206,192
838,13.9500,0.9958,24.4,-228,208
839,13.9667,0.9955,22.9,-236,214
840,13.9833,0.9927,24.2,-230,210
841,14.0000,0.9953,20.7,-254,228
842,14.0167,0.9970,20.3,-260,232
843,14.0333,0.9963,17.5,-274,242
844,14.0500,0.9970,16.2,-282,248
845,14.0667,0.9287,18.6,234,76
846,14.0833,0.9909,21.7,210,84
847,14.1000,0.9633,20.6,194,98
848,14.1167,0.8806,17.9,184,114
849,14.1333,0.9293,18.3,162,126
850,14.1500,0.9519,20.6,144,138
