frame,t_s,diameter_px,centre_x,centre_y,span_row,span,height,area,rim_l,rim_r,rim_outer,occl,ncomp,widest_y
346,5.7500,76,682.5,1385.5,82,82,54,1783,0,0,82,0,1,1383
347,5.7667,84,682.0,1383.0,85,85,55,2204,0,0,85,0,1,1384
348,5.7833,90,681.5,1379.5,90,90,52,2952,0,0,90,0,1,1383
349,5.8000,94,681.5,1379.5,94,95,56,3886,0,0,94,0,1,1380
350,5.8167,99,681.0,1379.0,99,99,59,4501,0,0,99,0,1,1376
351,5.8333,104,680.5,1380.5,104,104,66,5130,0,0,104,0,1,1376
352,5.8500,108,679.5,1380.0,108,108,69,5630,0,0,108,0,1,1378
353,5.8667,111,678.5,1379.5,112,112,72,6172,11,0,123,0,1,1383
354,5.8833,116,676.5,1378.5,116,117,76,6813,0,0,116,0,1,1376
355,5.9000,122,675.5,1378.0,122,123,79,7474,12,0,134,0,1,1378
356,5.9167,127,675.0,1377.0,127,128,83,8251,0,0,127,0,1,1377
357,5.9333,137,677.0,1376.5,137,138,88,9028,0,0,137,0,1,1373
358,5.9500,146,677.5,1376.5,146,147,90,9935,0,0,146,0,1,1374
359,5.9667,152,675.5,1376.5,152,153,94,10883,15,0,167,0,1,1376
360,5.9833,158,676.0,1376.0,159,159,99,11908,15,0,174,0,1,1379
361,6.0000,165,676.0,1376.0,165,165,105,12980,0,0,165,0,1,1379
362,6.0167,173,675.0,1377.0,173,174,109,14146,17,0,190,0,1,1377
363,6.0333,180,675.5,1377.0,180,181,115,15374,18,0,198,0,1,1378
364,6.0500,186,677.5,1378.0,186,187,119,16716,0,0,186,0,1,1374
365,6.0667,195,678.0,1378.5,195,195,124,18097,19,20,234,0,1,1382
366,6.0833,202,678.5,1378.5,202,203,128,19577,0,0,202,0,1,1381
367,6.1000,210,679.5,1380.0,210,211,133,21044,0,0,210,0,1,1381
368,6.1167,218,680.5,1381.0,218,219,139,22523,0,0,218,0,1,1381
369,6.1333,225,682.0,1382.5,225,226,142,24088,0,0,225,0,1,1382
370,6.1500,232,683.5,1384.5,232,232,146,25608,0,0,232,0,1,1384
371,6.1667,239,685.0,1385.5,239,239,152,27184,0,0,239,0,1,1386
372,6.1833,245,686.0,1386.0,245,245,155,28721,0,0,245,0,1,1389
373,6.2000,251,687.0,1388.0,251,251,159,30224,0,0,251,0,1,1389
374,6.2167,257,688.0,1389.5,257,257,164,31728,0,0,257,0,1,1390
375,6.2333,263,689.0,1390.5,263,263,168,33217,0,0,263,0,1,1393
376,6.2500,269,689.0,1392.0,269,269,171,34544,0,0,269,0,1,1394
377,6.2667,273,689.0,1393.0,273,273,175,35805,0,0,273,0,1,1392
378,6.2833,278,689.5,1394.5,278,278,178,36978,28,0,306,0,1,1401
379,6.3000,282,689.5,1395.5,282,282,178,38004,29,0,311,0,1,1401
380,6.3167,285,690.0,1396.5,285,285,180,38847,0,0,285,0,1,1402
381,6.3333,287,690.0,1397.5,287,287,182,39591,0,0,287,0,1,1396
382,6.3500,290,689.5,1398.5,290,290,184,40226,0,0,290,0,1,1399
383,6.3667,292,689.5,1399.0,292,292,185,40663,0,0,292,0,1,1399
384,6.3833,293,689.0,1398.5,293,293,186,40966,0,0,293,0,1,1400
385,6.4000,294,688.5,1398.5,294,294,186,41115,0,0,294,0,1,1400
386,6.4167,294,686.5,1398.0,294,294,187,41065,29,0,323,0,1,1401
387,6.4333,293,682.0,1397.0,293,294,187,41070,30,0,323,0,1,1400
388,6.4500,293,678.0,1397.0,293,293,187,41005,0,0,293,0,1,1399
389,6.4667,293,674.0,1396.5,293,293,186,41012,0,0,293,0,1,1397
390,6.4833,292,669.5,1396.5,292,292,186,41005,0,0,292,0,1,1398
391,6.5000,293,665.0,1396.0,293,293,187,41007,0,0,293,0,1,1402
392,6.5167,292,660.5,1396.0,292,292,187,40950,0,0,292,0,1,1403
393,6.5333,293,656.0,1396.0,293,293,187,41015,0,0,293,0,1,1398
394,6.5500,293,652.0,1396.0,293,293,187,41047,0,0,293,0,1,1399
395,6.5667,293,649.0,1396.5,293,294,188,41055,0,0,293,0,1,1399
396,6.5833,292,645.5,1397.0,292,293,187,41097,0,0,292,0,1,1399
397,6.6000,292,642.5,1397.5,292,293,186,41085,0,0,292,0,1,1399
398,6.6167,293,639.0,1398.0,293,293,187,41150,30,0,323,0,1,1403
399,6.6333,292,637.5,1398.0,292,293,187,41148,0,0,292,0,1,1399
400,6.6500,292,635.5,1399.0,292,292,187,41114,0,0,292,0,1,1400
401,6.6667,293,635.0,1399.0,293,294,187,41162,0,0,293,0,1,1400
402,6.6833,293,633.0,1399.0,293,293,187,41198,0,0,293,0,1,1403
403,6.7000,293,632.0,1399.0,293,293,187,41169,0,0,293,0,1,1403
404,6.7167,292,631.5,1399.0,292,293,187,41150,0,0,292,0,1,1402
405,6.7333,293,630.0,1399.0,293,293,187,41178,0,0,293,0,1,1403
406,6.7500,294,629.5,1399.0,294,294,187,41181,0,0,294,0,1,1405
407,6.7667,293,629.0,1399.0,293,293,187,41209,0,0,293,0,1,1404
408,6.7833,292,629.5,1399.0,292,293,187,41195,0,0,292,0,1,1400
409,6.8000,293,629.0,1399.0,293,294,187,41204,0,0,293,0,1,1402
410,6.8167,293,629.0,1399.0,293,294,187,41218,0,0,293,0,1,1401
411,6.8333,293,629.0,1399.0,293,294,187,41204,0,0,293,0,1,1401
412,6.8500,293,628.0,1399.0,293,293,187,41198,0,0,293,0,1,1403
413,6.8667,293,628.0,1399.0,293,293,187,41203,0,0,293,0,1,1403
414,6.8833,293,628.0,1399.0,293,293,187,41202,0,0,293,0,1,1403
415,6.9000,293,628.0,1399.0,293,293,187,41217,0,0,293,0,1,1403
416,6.9167,293,628.0,1399.0,293,293,187,41218,0,0,293,0,1,1403
417,6.9333,293,628.0,1399.0,293,293,187,41209,0,0,293,0,1,1403
418,6.9500,293,628.0,1399.0,293,293,187,41147,0,0,293,0,1,1405
419,6.9667,293,629.0,1399.0,293,293,187,41111,0,0,293,0,1,1403
420,6.9833,293,630.0,1399.0,293,293,187,41117,0,0,293,0,1,1404
421,7.0000,293,632.0,1398.5,293,293,188,41085,0,0,293,0,1,1400
422,7.0167,292,634.5,1398.0,292,294,187,41119,0,0,292,0,1,1399
423,7.0333,292,635.5,1397.5,292,293,186,41052,0,0,292,0,1,1399
424,7.0500,292,637.5,1397.5,292,293,186,40963,0,0,292,0,1,1400
425,7.0667,292,639.5,1397.0,292,293,187,40965,0,0,292,0,1,1400
426,7.0833,291,641.0,1396.5,291,292,186,40915,0,0,291,0,1,1401
427,7.1000,292,641.5,1396.0,292,292,185,40915,0,0,292,0,1,1397
428,7.1167,293,643.0,1395.5,293,293,186,40947,0,0,293,0,1,1397
429,7.1333,293,644.0,1395.5,293,293,186,40912,0,0,293,0,1,1399
430,7.1500,293,645.0,1395.5,293,293,186,40886,0,0,293,0,1,1400
431,7.1667,292,645.5,1395.5,292,292,186,40912,0,0,292,0,1,1399
432,7.1833,293,646.0,1395.5,293,293,186,40884,0,0,293,0,1,1400
433,7.2000,292,646.5,1395.0,292,292,187,40868,0,0,292,0,1,1399
434,7.2167,293,647.0,1394.5,293,293,186,40868,0,0,293,0,1,1400
435,7.2333,293,647.0,1394.5,293,294,186,40875,29,0,322,0,1,1400
436,7.2500,292,648.5,1394.5,292,293,186,40866,0,0,292,0,1,1398
437,7.2667,293,648.0,1394.5,293,293,186,40855,0,0,293,0,1,1399
438,7.2833,292,648.5,1394.5,292,292,186,40839,0,0,292,0,1,1400
439,7.3000,293,649.0,1394.5,293,293,186,40857,0,0,293,0,1,1399
440,7.3167,293,649.0,1394.5,293,293,186,40855,29,0,322,0,1,1401
441,7.3333,293,650.0,1394.5,293,293,186,40857,0,0,293,0,1,1397
442,7.3500,293,650.0,1394.5,293,293,186,40886,0,0,293,0,1,1398
443,7.3667,292,650.5,1394.5,292,293,186,40867,0,0,292,0,1,1397
444,7.3833,293,651.0,1394.5,293,293,186,40825,0,0,293,0,1,1399
445,7.4000,292,651.5,1394.5,292,292,186,40835,0,0,292,0,1,1396
446,7.4167,292,651.5,1394.5,292,292,186,40847,0,0,292,0,1,1396
447,7.4333,292,652.5,1394.5,292,293,186,40860,0,0,292,0,1,1396
448,7.4500,292,652.5,1394.5,292,293,186,40858,0,0,292,0,1,1395
449,7.4667,293,653.0,1394.0,293,293,185,40862,0,0,293,0,1,1397
450,7.4833,292,653.5,1394.5,292,293,186,40820,0,0,292,0,1,1397
451,7.5000,292,653.5,1394.5,292,293,186,40845,0,0,292,0,1,1396
452,7.5167,292,653.5,1394.0,292,293,185,40841,0,0,292,0,1,1398
453,7.5333,292,655.5,1394.0,292,292,185,40830,0,0,292,0,1,1396
454,7.5500,293,656.0,1394.0,293,293,185,40832,0,0,293,0,1,1398
455,7.5667,292,657.5,1394.0,292,293,185,40805,0,0,292,0,1,1397
456,7.5833,292,657.5,1394.0,292,292,185,40797,0,0,292,0,1,1393
457,7.6000,293,658.0,1394.0,293,293,185,40833,30,0,323,0,1,1398
458,7.6167,292,659.5,1394.0,292,292,185,40795,0,0,292,0,1,1394
459,7.6333,293,660.0,1394.0,293,293,185,40785,0,0,293,0,1,1397
460,7.6500,294,660.5,1394.0,294,294,185,40809,29,0,323,0,1,1399
461,7.6667,293,661.0,1394.0,293,293,185,40808,29,0,322,0,1,1400
462,7.6833,293,662.0,1394.0,293,293,185,40763,0,0,293,0,1,1398
463,7.7000,293,662.0,1394.0,293,293,185,40798,29,0,322,0,1,1399
464,7.7167,292,662.5,1394.0,292,293,185,40728,0,0,292,0,1,1396
465,7.7333,292,663.5,1394.0,292,292,185,40777,0,0,292,0,1,1396
466,7.7500,292,663.5,1394.0,292,292,185,40777,0,0,292,0,1,1396
467,7.7667,292,663.5,1394.0,292,292,185,40777,0,0,292,0,1,1396
468,7.7833,292,663.5,1394.0,292,292,185,40777,0,0,292,0,1,1396
469,7.8000,293,664.0,1400.0,293,293,187,41143,0,0,293,0,1,1402
470,7.8167,293,665.0,1399.0,293,294,185,41070,0,0,293,0,1,1401
471,7.8333,293,665.0,1397.5,293,293,186,40773,0,0,293,0,1,1400
472,7.8500,293,666.0,1398.0,293,293,185,39854,0,0,293,0,1,1400
473,7.8667,293,667.0,1397.5,293,293,184,38710,0,0,293,0,1,1399
474,7.8833,293,668.0,1397.5,293,293,184,37409,0,0,293,0,1,1399
475,7.9000,293,669.0,1397.0,293,293,185,36004,0,0,293,0,1,1399
476,7.9167,292,669.5,1397.5,292,292,184,34432,0,0,292,0,1,1396
477,7.9333,292,670.5,1398.5,292,292,182,32751,0,0,292,0,1,1396
478,7.9500,293,671.0,1397.0,293,293,183,31046,0,0,293,0,1,1399
479,7.9667,287,672.0,1396.0,293,294,185,29379,0,0,293,0,1,1398
480,7.9833,275,672.0,1396.0,293,293,185,27936,29,0,322,1,1,1400
481,8.0000,258,674.5,1395.0,282,287,187,26425,0,0,282,1,1,1413
482,8.0167,231,674.0,1395.5,259,276,186,25088,31,0,290,1,1,1432
483,8.0333,198,675.5,1395.5,198,245,186,24287,0,0,198,0,1,1460
484,8.0500,169,676.0,1395.5,169,230,186,24079,0,0,169,0,1,1469
485,8.0667,153,740.0,1395.5,153,213,186,23950,0,0,153,0,1,1377
486,8.0833,161,736.0,1395.5,161,192,186,24310,0,0,161,0,1,1377
487,8.1000,172,737.5,1395.5,172,183,186,24647,0,0,172,0,1,1395
488,8.1167,174,735.5,1395.5,174,179,186,24583,0,0,174,0,1,1410
489,8.1333,167,741.0,1396.0,167,174,185,23796,0,0,167,0,1,1393
490,8.1500,163,744.0,1395.5,163,171,186,22731,0,0,163,0,1,1392
491,8.1667,161,746.0,1398.0,161,175,181,21865,82,0,243,0,1,1393
492,8.1833,169,744.0,1398.5,169,181,184,22416,85,0,254,0,1,1400
493,8.2000,167,684.0,1400.5,245,269,180,21707,0,0,245,1,2,1354
494,8.2167,163,685.5,1402.5,248,271,176,20879,0,0,248,1,2,1356
495,8.2333,159,686.5,1404.0,246,271,175,20055,0,0,246,1,2,1355
496,8.2500,150,689.0,1401.5,281,287,180,18796,0,0,281,1,2,1382
497,8.2667,139,690.5,1400.5,280,287,184,17787,0,0,280,1,2,1382
498,8.2833,138,691.0,1400.0,289,292,185,18459,0,0,289,1,2,1393
499,8.3000,127,692.0,1400.5,285,290,186,17315,0,0,285,1,2,1389
500,8.3167,120,694.0,1400.5,267,280,186,15407,0,0,267,1,2,1372
501,8.3333,112,694.5,1401.5,262,278,186,14187,0,0,262,1,2,1368
502,8.3500,153,684.0,1401.5,153,274,186,12993,0,0,153,0,2,1329
503,8.3667,167,696.5,1400.5,286,290,184,15516,0,0,286,1,2,1392
504,8.3833,176,697.0,1402.0,289,291,187,16972,0,0,289,1,2,1398
505,8.4000,189,697.5,1401.5,292,292,186,18637,0,0,292,1,2,1408
506,8.4167,207,699.0,1400.0,285,290,181,20445,0,0,285,1,2,1419
507,8.4333,228,694.5,1387.0,228,259,155,23293,0,0,228,0,1,1352
508,8.4500,250,697.5,1393.0,250,271,167,28091,0,0,250,0,1,1362
509,8.4667,267,698.0,1401.0,267,279,183,32055,0,0,267,0,1,1374
510,8.4833,270,698.5,1401.5,270,280,182,32703,0,0,270,0,1,1376
511,8.5000,276,698.5,1403.0,276,283,185,33967,0,0,276,0,1,1384
512,8.5167,281,700.0,1403.5,281,286,186,34614,0,0,281,0,1,1388
513,8.5333,282,700.5,1403.5,282,287,186,34516,0,0,282,0,1,1389
514,8.5500,283,701.0,1404.0,283,288,187,33949,0,0,283,0,1,1391
515,8.5667,284,701.5,1405.0,284,288,187,33159,0,0,284,0,1,1392
516,8.5833,286,702.5,1405.5,286,289,188,32125,0,0,286,0,1,1396
517,8.6000,287,704.0,1406.5,287,290,188,30762,0,0,287,0,1,1396
518,8.6167,272,699.0,1407.5,279,280,188,28572,0,0,279,1,1,1408
519,8.6333,240,688.5,1408.0,244,251,187,26164,30,0,274,0,1,1429
520,8.6500,190,680.5,1408.5,196,219,188,23649,31,0,227,0,1,1452
521,8.6667,140,649.5,1408.0,140,178,191,21128,0,0,140,0,1,1369
522,8.6833,135,642.0,1409.0,135,166,189,19196,0,0,135,0,1,1377
523,8.7000,136,707.0,1410.0,265,277,189,18459,0,0,265,1,2,1380
524,8.7167,124,708.5,1409.0,266,278,179,18178,0,0,266,1,2,1379
525,8.7333,110,710.0,1408.5,275,284,180,18423,0,0,275,1,2,1389
526,8.7500,228,710.5,1409.5,288,291,182,22646,0,0,288,1,1,1404
527,8.7667,285,711.0,1406.5,293,293,176,27584,0,0,293,1,1,1412
528,8.7833,291,712.0,1405.5,293,293,174,28264,0,0,293,0,1,1414
529,8.8000,294,712.5,1410.5,294,294,184,33648,0,0,294,0,1,1415
530,8.8167,293,712.0,1414.0,293,295,189,35151,0,0,293,0,1,1412
531,8.8333,294,712.5,1414.0,294,295,189,35139,29,0,323,0,1,1415
532,8.8500,294,712.5,1414.0,294,295,189,35759,30,0,324,0,1,1414
533,8.8667,293,713.0,1413.0,293,294,187,36194,0,0,293,0,1,1412
534,8.8833,294,713.5,1412.0,294,295,185,36739,0,0,294,0,1,1414
535,8.9000,294,713.5,1411.0,294,295,183,37445,0,0,294,0,1,1414
536,8.9167,294,713.5,1410.0,294,295,181,38251,0,0,294,0,1,1414
