frame,t_s,n_pairs,median_spacing_px,pairs
827,13.7667,2,131.85,131.2@y964 132.5@y1106
828,13.7833,2,131.64999999999998,132.1@y973 131.2@y1114
829,13.8000,2,131.10000000000002,132.4@y981 129.8@y1123
830,13.8167,2,129.95,131.6@y989 128.3@y1131
831,13.8333,2,130.55,132.2@y997 128.9@y1139
832,13.8500,2,131.2,133.1@y1005 129.3@y1148
833,13.8667,2,131.05,131.8@y1013 130.3@y1157
834,13.8833,2,130.85,131.6@y1021 130.1@y1166
835,13.9000,2,127.7,131.0@y1029 124.4@y1172
836,13.9167,2,125.85,130.6@y1035 121.1@y1178
837,13.9333,2,123.75,131.2@y1043 116.3@y1184
838,13.9500,3,131.2,131.6@y914 131.2@y1051 110.3@y1190
839,13.9667,3,130.9,130.9@y922 131.4@y1059 103.1@y1195
840,13.9833,2,130.75,130.7@y929 130.8@y1067
841,14.0000,3,130.5,130.5@y936 130.5@y1075 121.7@y1221
842,14.0167,2,130.15,130.5@y942 129.8@y1082
843,14.0333,3,130.1,131.4@y950 129.9@y1090 130.1@y1242
844,14.0500,3,130.6,131.6@y958 130.1@y1098 130.6@y1254
845,14.0667,3,130.9,130.9@y965 129.4@y1105 131.4@y1271
846,14.0833,3,130.3,131.7@y971 130.3@y1113 129.2@y1279
847,14.1000,3,130.4,130.9@y978 130.4@y1121 128.0@y1299
848,14.1167,3,129.3,131.0@y986 129.3@y1129 126.8@y1322
849,14.1333,2,130.0,131.1@y994 128.9@y1137
850,14.1500,2,128.6,129.9@y1001 127.3@y1144
851,14.1667,3,128.1,131.5@y1008 128.1@y1153 119.7@y1410
852,14.1833,3,129.8,130.9@y1015 129.8@y1161 119.5@y1419
853,14.2000,2,130.4,131.0@y1023 129.8@y1169
854,14.2167,2,130.10000000000002,130.8@y1030 129.4@y1178
855,14.2333,2,128.6,128.7@y981 128.5@y1186
856,14.2500,2,127.14999999999999,129.7@y1046 124.6@y1194
857,14.2667,2,127.15,132.0@y1056 122.3@y1203
858,14.2833,2,124.6,132.1@y1065 117.1@y1210
859,14.3000,1,130.0,130.0@y1074
860,14.3167,1,130.3,130.3@y1083
861,14.3333,1,131.6,131.6@y1093
862,14.3500,1,132.4,132.4@y1101
863,14.3667,1,132.2,132.2@y1110
864,14.3833,1,129.2,129.2@y1060
865,14.4000,1,131.4,131.4@y1127
866,14.4167,1,132.2,132.2@y1136
867,14.4333,1,132.8,132.8@y1144
868,14.4500,1,132.3,132.3@y1151
869,14.4667,2,130.5,130.3@y1158 130.7@y1324
870,14.4833,2,132.65,131.0@y1166 134.3@y1330
871,14.5000,2,133.5,132.3@y1174 134.7@y1339
872,14.5167,2,134.55,133.5@y1182 135.6@y1347
873,14.5333,2,134.60000000000002,133.8@y1190 135.4@y1355
874,14.5500,2,135.55,135.3@y1197 135.8@y1363
875,14.5667,2,134.8,135.9@y1204 133.7@y1371
876,14.5833,2,134.75,134.5@y1211 135.0@y1380
877,14.6000,2,135.0,134.6@y1217 135.4@y1388
878,14.6167,1,135.0,135.0@y1396
879,14.6333,1,131.7,131.7@y1402
880,14.6500,1,132.6,132.6@y1412
881,14.6667,1,142.1,142.1@y1423
882,14.6833,1,137.5,137.5@y1428
883,14.7000,1,133.7,133.7@y1437
884,14.7167,0,,
885,14.7333,1,133.6,133.6@y1454
886,14.7500,0,,
887,14.7667,1,135.2,135.2@y1474
888,14.7833,1,136.7,136.7@y1484
889,14.8000,0,,
890,14.8167,1,134.5,134.5@y1503
891,14.8333,0,,
