frame,t_s,dxA,dyA,peakA,texA,dxC,dyC,peakC,texC,dxD,dyD,peakD,texD
399,6.6333,3.52,6.49,127.6,9.91,-0.00,-0.00,194.4,0.63,6.14,15.24,89.6,13.67
400,6.6500,3.94,6.56,143.4,10.00,0.00,-0.00,178.3,0.66,-2.03,-3.91,69.8,13.96
401,6.6667,4.09,6.50,156.7,10.08,0.00,-0.00,227.4,1.26,7.74,14.55,75.1,14.38
402,6.6833,4.11,6.94,134.4,10.18,-0.00,0.00,225.1,1.65,7.98,15.49,102.5,13.94
403,6.7000,4.18,6.26,201.3,10.24,-0.00,-0.00,212.6,2.03,8.08,14.26,103.8,13.89
404,6.7167,4.47,6.50,147.8,10.34,0.00,-0.00,240.0,2.12,8.35,14.55,75.3,13.74
405,6.7333,4.51,6.32,169.2,10.33,-0.00,-0.00,232.3,2.24,8.37,14.15,75.0,14.13
406,6.7500,4.64,6.64,143.9,10.34,-0.00,0.00,212.1,2.38,-0.05,-0.29,89.7,13.84
407,6.7667,5.12,6.63,124.7,10.35,0.00,0.00,205.5,2.40,-0.05,-0.27,98.0,13.56
408,6.7833,5.18,6.42,139.3,10.49,-0.00,-0.00,208.9,2.36,-0.05,-0.11,119.6,13.17
409,6.8000,4.90,6.39,142.2,10.66,0.00,-0.00,243.1,2.47,-0.06,-0.12,119.9,12.89
410,6.8167,5.01,6.56,131.7,10.79,-0.00,0.00,241.6,2.47,-0.03,-0.02,143.2,12.91
411,6.8333,5.41,6.73,136.2,10.98,-0.00,0.00,243.1,2.54,0.01,-0.09,134.5,12.91
412,6.8500,5.24,6.49,148.5,11.17,-0.00,-0.00,243.1,2.54,-0.04,-0.08,154.6,12.48
413,6.8667,5.64,6.82,141.8,11.38,0.00,-0.00,243.2,2.56,-0.02,-0.15,145.1,12.23
414,6.8833,5.54,6.61,153.0,11.56,0.00,0.00,243.1,2.56,-0.02,-0.15,154.8,12.00
415,6.9000,5.48,6.91,143.1,11.73,0.00,-0.00,243.2,2.57,-0.01,-0.31,139.2,11.78
416,6.9167,5.48,6.97,141.2,11.88,0.00,-0.00,243.2,2.57,0.04,-0.58,119.7,11.36
417,6.9333,5.50,6.80,150.7,12.03,-0.00,-0.00,243.1,2.56,-0.04,-0.28,161.6,10.91
418,6.9500,5.43,7.17,149.0,12.20,0.00,-0.00,243.1,2.49,0.01,-0.28,169.8,10.17
419,6.9667,5.11,7.05,127.2,12.37,0.00,-0.00,243.1,2.46,0.02,-0.22,182.8,9.47
420,6.9833,5.18,7.62,154.0,12.45,-0.00,0.00,242.9,2.39,0.11,-0.51,144.0,8.78
421,7.0000,4.29,7.00,157.2,12.59,0.00,0.00,242.0,2.32,0.14,-0.79,130.4,8.35
422,7.0167,4.36,7.32,171.6,12.73,-0.00,-0.00,238.9,1.93,-0.54,-1.45,129.4,7.91
423,7.0333,4.09,7.40,202.1,12.88,0.00,0.00,233.0,1.48,-0.31,-1.58,160.6,7.61
424,7.0500,3.92,7.62,216.2,13.00,0.00,-0.00,218.3,1.46,-0.34,-1.74,173.4,7.47
425,7.0667,3.84,7.79,235.2,13.30,0.00,0.00,199.3,1.48,-0.31,-1.77,184.7,7.36
426,7.0833,3.65,7.83,219.1,13.64,0.01,0.00,189.1,1.56,-0.22,-1.83,181.3,7.24
427,7.1000,3.23,7.85,179.2,13.79,-0.01,0.00,165.7,1.62,-0.31,-1.70,162.3,7.14
428,7.1167,2.67,7.70,178.8,13.99,0.01,-0.01,143.5,1.67,-0.20,-1.26,132.0,7.09
429,7.1333,2.43,7.83,215.1,14.10,-0.02,-0.03,127.7,1.74,0.06,-0.83,169.7,7.03
