frame,t_s,dxA,dyA,peakA,texA,dxC,dyC,peakC,texC,dxD,dyD,peakD,texD
582,9.6833,-9.98,6.46,156.9,10.30,-0.00,0.00,234.6,1.30,-14.03,10.61,87.1,9.39
583,9.7000,-9.98,6.51,152.3,10.33,-0.01,-0.00,212.7,1.31,-14.07,10.54,81.5,9.03
584,9.7167,-9.99,6.35,161.0,10.17,-0.00,-0.00,232.7,1.33,-14.10,10.63,69.6,8.62
585,9.7333,-9.98,6.57,143.5,10.28,-0.00,-0.00,230.2,1.34,-0.64,-0.08,71.4,8.13
586,9.7500,-9.93,6.55,143.3,10.33,0.00,-0.02,207.2,1.34,-0.70,-0.01,81.8,7.83
587,9.7667,-9.97,6.62,138.9,10.43,0.00,-0.01,227.3,1.32,-0.56,-0.01,93.0,7.51
588,9.7833,-9.93,6.70,131.3,10.48,0.00,-0.00,239.5,1.32,-0.26,-0.02,110.6,7.26
589,9.8000,-10.02,6.54,137.4,10.67,0.00,0.00,234.4,1.32,-0.22,-0.01,104.0,6.99
590,9.8167,-9.84,6.94,116.8,10.80,0.00,0.00,235.1,1.34,-0.02,-0.02,158.3,6.77
591,9.8333,-9.86,6.71,121.0,10.95,0.00,-0.00,233.4,1.34,-0.06,-0.04,165.4,6.45
592,9.8500,-10.07,7.45,125.2,11.02,-0.00,0.00,226.9,1.36,-0.01,-0.01,224.9,5.96
593,9.8667,-10.05,7.45,123.8,11.05,0.00,-0.00,217.0,1.37,-0.00,-0.01,266.7,5.70
594,9.8833,-10.10,7.19,105.2,11.09,0.00,0.00,208.6,1.38,0.00,-0.00,305.2,5.50
595,9.9000,-10.00,7.59,124.5,11.11,0.00,-0.00,193.4,1.40,-0.01,-0.00,278.8,5.37
596,9.9167,-9.97,7.78,123.9,11.02,0.00,-0.00,189.4,1.41,0.01,-0.01,224.7,5.27
597,9.9333,-10.09,7.72,119.1,10.99,-0.00,-0.00,174.2,1.42,0.06,-0.00,199.1,5.17
598,9.9500,-9.87,7.59,106.6,10.97,0.01,-0.01,156.4,1.44,0.12,-0.03,166.6,5.09
599,9.9667,-9.88,7.69,89.6,11.03,-0.01,-0.00,137.1,1.43,0.16,-0.01,148.7,5.08
600,9.9833,-9.83,7.76,88.6,11.02,0.02,-0.02,126.2,1.45,0.11,0.02,156.5,5.09
601,10.0000,0.07,-0.01,98.3,11.01,-0.01,-0.01,114.3,1.45,0.15,0.05,150.9,5.04
602,10.0167,0.00,0.02,99.0,10.95,0.00,-0.01,116.8,1.45,0.43,-0.01,120.0,5.04
603,10.0333,0.05,0.01,94.2,10.95,-0.00,-0.01,100.0,1.45,0.36,-0.00,123.7,5.04
604,10.0500,0.01,0.03,102.8,11.05,-0.01,-0.01,97.7,1.44,0.39,-0.02,141.6,5.06
605,10.0667,0.06,0.07,101.6,11.13,0.01,0.01,101.4,1.43,0.81,-0.01,104.7,5.05
606,10.0833,0.05,0.05,93.3,11.17,-0.02,-0.05,88.8,1.43,0.64,-0.00,109.2,5.03
607,10.1000,0.03,0.01,95.3,11.16,0.00,-0.04,85.8,1.43,0.82,0.03,99.6,5.01
608,10.1167,-0.00,0.03,102.0,11.21,-0.00,-0.02,77.0,1.41,0.80,0.01,96.7,4.99
609,10.1333,-0.00,0.05,115.5,11.31,0.01,-0.01,87.6,1.40,0.49,0.02,86.4,4.97
610,10.1500,0.02,0.04,110.3,11.29,-0.02,-0.02,98.1,1.39,0.38,0.22,84.0,4.95
611,10.1667,0.02,0.04,113.8,11.01,-0.01,-0.01,111.4,1.40,0.47,0.23,72.9,4.86
612,10.1833,-0.02,0.04,108.7,11.08,-0.01,-0.01,123.6,1.38,0.32,0.25,66.4,4.84
613,10.2000,0.03,0.03,115.6,11.12,-0.01,0.00,135.3,1.36,0.22,0.40,56.6,4.84
614,10.2167,-0.01,0.06,105.5,11.15,0.01,-0.01,151.2,1.34,-11.86,11.72,60.9,4.82
615,10.2333,0.02,0.02,107.6,11.18,-0.01,-0.00,163.5,1.32,-12.12,11.96,102.5,4.82
616,10.2500,-0.02,0.02,108.9,11.21,0.00,-0.01,176.7,1.31,0.19,0.29,62.6,4.80
617,10.2667,0.02,0.02,88.6,11.20,0.01,-0.01,160.7,1.26,-11.86,11.84,76.8,4.79
618,10.2833,-9.50,7.53,87.0,11.19,0.00,-0.00,194.1,1.22,-12.18,11.93,78.5,4.78
619,10.3000,0.01,0.02,84.5,11.17,0.00,0.00,221.1,1.20,-12.03,11.86,64.9,4.75
620,10.3167,-9.77,7.65,108.4,11.13,0.00,0.00,215.2,1.19,0.25,0.22,74.7,4.72
621,10.3333,-9.61,7.76,110.1,11.13,0.00,-0.00,196.0,1.19,0.02,0.70,64.2,4.70
622,10.3500,-9.18,7.19,91.2,11.17,-0.00,-0.00,236.6,1.19,0.54,0.18,77.6,4.69
623,10.3667,-9.92,7.88,170.6,11.21,-0.00,0.00,241.0,1.16,0.39,0.32,79.3,4.58
624,10.3833,-9.62,7.41,120.8,11.29,0.00,-0.00,242.3,1.19,0.58,0.50,69.9,4.57
625,10.4000,-9.90,7.83,168.9,11.41,0.00,0.00,215.8,1.20,0.34,0.37,86.8,4.55
626,10.4167,-10.00,7.90,213.3,11.51,0.00,-0.00,241.2,1.19,0.67,0.21,79.2,4.52
627,10.4333,-9.85,7.77,179.7,11.61,0.00,0.00,227.7,1.21,0.81,0.45,68.6,4.50
628,10.4500,-9.95,7.90,230.0,11.68,-0.00,-0.00,227.0,1.20,0.79,0.12,86.4,4.45
629,10.4667,-9.99,7.94,248.0,11.77,0.01,-0.00,215.8,1.19,1.32,0.09,90.6,4.43
630,10.4833,-10.02,7.99,261.4,11.82,0.00,0.00,213.6,1.20,1.40,0.04,105.8,4.40
631,10.5000,-10.03,7.93,266.9,11.83,-0.00,-0.00,229.1,1.21,1.11,-0.03,76.3,4.38
632,10.5167,-10.04,7.99,283.6,11.85,0.00,-0.00,215.6,1.23,1.81,0.07,111.8,4.37
633,10.5333,-10.09,8.00,278.9,11.92,-0.00,0.00,204.0,1.30,1.38,0.04,91.8,4.37
634,10.5500,-10.12,8.01,276.3,12.00,0.00,0.00,218.0,1.44,1.59,0.05,101.5,4.37
635,10.5667,-10.17,8.08,252.6,12.01,0.00,0.00,209.3,1.56,1.69,0.06,98.2,4.36
636,10.5833,-10.18,8.06,268.7,12.09,-0.00,0.00,192.6,1.63,1.54,0.06,104.1,4.36
637,10.6000,-10.26,8.13,249.2,12.24,-0.00,0.00,180.2,1.70,1.19,0.15,73.1,4.36
638,10.6167,-10.22,8.11,252.5,12.36,-0.00,0.00,162.3,1.80,1.53,0.03,113.5,4.36
639,10.6333,-10.29,8.10,256.9,12.42,-0.00,-0.01,145.7,1.85,0.90,0.72,65.0,4.35
640,10.6500,-10.31,8.16,239.7,12.42,0.02,0.01,122.1,1.91,1.37,0.07,75.7,4.34
641,10.6667,-10.41,8.18,219.6,12.48,0.00,0.01,124.2,1.98,1.53,0.06,106.1,4.35
642,10.6833,-10.44,8.21,207.5,12.48,0.00,0.01,111.5,2.07,1.69,0.03,113.9,4.37
643,10.7000,-11.25,8.88,146.0,12.46,0.01,-0.02,101.6,2.16,1.30,0.03,86.8,4.40
644,10.7167,-10.35,8.15,244.9,12.45,-0.02,-0.03,97.7,2.24,1.74,0.06,94.8,4.42
645,10.7333,-12.06,10.07,279.5,12.36,-0.02,-0.02,93.0,2.36,1.35,-0.03,71.0,4.34
646,10.7500,-13.82,11.71,169.9,12.31,-0.01,0.00,80.7,2.40,1.87,0.08,88.4,4.34
647,10.7667,-14.40,11.95,195.5,12.31,0.00,-0.06,63.9,2.48,0.48,-0.01,71.4,4.33
648,10.7833,-11.91,9.39,204.5,12.26,0.04,0.01,57.7,2.51,2.00,0.08,66.8,4.33
649,10.8000,-17.50,14.07,144.4,12.30,-0.05,0.03,47.3,2.60,1.57,-0.01,51.7,4.34
650,10.8167,-18.49,21.56,122.4,12.40,0.05,-0.07,45.5,2.71,1.85,-0.02,51.2,4.34
651,10.8333,-24.04,18.30,102.2,12.59,-0.03,0.01,32.8,2.89,-11.75,11.38,50.7,4.34
652,10.8500,-23.37,28.31,59.3,12.67,-22.30,27.96,42.8,3.08,-11.79,11.81,73.0,4.34
653,10.8667,-29.64,42.18,43.6,12.98,-14.04,29.96,41.5,3.13,-11.67,11.70,69.2,4.34
654,10.8833,-12.36,9.92,191.9,13.10,-10.04,8.01,49.2,3.15,-11.83,12.02,89.2,4.32
655,10.9000,-7.88,7.63,52.2,13.12,-8.05,30.69,19.3,3.18,-11.67,11.88,64.9,4.32
656,10.9167,-8.00,7.52,71.2,13.06,-1.91,31.97,45.5,3.15,-11.97,11.81,86.0,4.33
657,10.9333,-7.96,7.44,98.8,13.09,4.42,30.02,39.4,3.06,-11.46,11.66,54.0,4.32
658,10.9500,-8.06,7.42,114.9,13.09,0.07,0.08,18.9,2.93,-11.94,11.86,74.6,4.32
659,10.9667,-8.17,7.52,105.7,13.46,19.11,31.70,14.3,2.75,-11.95,11.98,92.7,4.31
660,10.9833,-8.04,7.05,103.5,13.82,0.03,-0.02,62.5,2.83,-11.55,11.95,56.0,4.31
661,11.0000,-8.12,7.56,109.5,14.08,0.23,0.05,17.2,2.47,3.98,-1.93,71.6,4.33
662,11.0167,-8.18,7.33,93.4,14.23,0.02,0.06,46.8,2.16,1.77,0.07,81.3,4.33
663,11.0333,-8.14,7.60,105.3,14.38,-0.02,0.00,107.6,1.87,1.86,0.09,81.8,4.30
664,11.0500,-8.35,7.71,107.6,14.30,-0.00,0.00,191.6,1.43,1.98,0.03,95.8,4.30
665,11.0667,-8.16,7.66,116.0,14.04,0.00,-0.00,235.2,1.16,1.74,0.07,80.9,4.31
666,11.0833,-8.37,7.77,103.7,13.86,0.00,0.00,239.4,1.15,1.88,0.02,138.4,4.32
667,11.1000,-8.35,7.74,96.9,14.22,0.00,0.00,236.2,1.14,1.97,0.00,170.4,4.30
668,11.1167,-8.28,7.83,82.4,14.45,-0.00,0.00,230.9,1.15,1.97,-0.00,178.8,4.28
669,11.1333,-8.19,7.98,76.1,14.54,-0.00,0.00,207.1,1.16,1.92,0.02,179.1,4.25
670,11.1500,-8.18,7.80,64.6,14.57,0.00,0.00,234.7,1.17,1.89,0.02,167.4,4.22
671,11.1667,-8.45,7.83,53.2,14.64,0.00,0.00,225.5,1.18,1.95,-0.00,204.3,4.23
672,11.1833,-7.91,6.42,40.9,14.94,0.00,-0.00,218.3,1.20,1.94,0.00,180.2,4.22
673,11.2000,-13.80,4.36,43.6,15.36,0.00,0.01,185.9,1.19,1.94,-0.00,202.3,4.21
674,11.2167,-13.71,4.30,42.2,15.62,-0.00,-0.00,210.1,1.20,1.96,0.00,191.7,4.20
675,11.2333,-8.57,7.63,39.4,15.81,-0.00,-0.00,221.8,1.22,1.96,0.00,189.0,4.20
676,11.2500,-12.22,6.04,80.7,15.78,0.00,-0.00,204.3,1.25,1.90,0.01,163.7,4.19
677,11.2667,-12.38,6.57,67.8,15.81,-0.00,-0.00,194.0,1.26,1.89,-0.00,136.2,4.18
678,11.2833,-12.01,7.69,73.9,15.84,0.00,0.00,185.1,1.27,1.62,0.07,115.5,4.18
679,11.3000,-12.08,7.68,63.2,15.97,0.00,-0.00,166.0,1.28,1.25,0.07,97.9,4.17
680,11.3167,-14.07,9.50,113.0,15.97,-0.00,0.00,151.9,1.30,1.21,-0.00,97.5,4.19
681,11.3333,-14.07,9.79,144.2,16.01,-0.00,0.00,135.0,1.33,1.02,0.04,109.5,4.18
682,11.3500,-13.91,9.65,135.6,16.00,0.00,0.01,117.1,1.35,0.19,0.07,71.8,4.13
683,11.3667,-14.13,9.67,169.6,15.91,-0.00,-0.01,100.6,1.35,0.69,0.24,62.4,4.22
684,11.3833,-13.67,12.44,97.4,15.89,-0.01,-0.02,98.5,1.36,0.85,0.05,91.0,4.23
685,11.4000,-14.43,12.65,94.0,15.90,-0.01,0.01,95.8,1.38,0.73,-0.05,70.2,4.24
686,11.4167,-13.95,12.12,131.4,15.97,-0.01,-0.01,85.2,1.38,0.06,0.03,149.0,4.23
687,11.4333,-14.27,12.26,121.9,15.97,0.02,-0.04,80.8,1.39,0.11,-0.04,109.0,4.25
688,11.4500,-15.34,14.11,71.9,15.93,0.01,-0.00,80.6,1.39,0.23,-0.02,116.4,4.26
689,11.4667,-14.53,14.27,82.2,15.86,0.02,-0.01,81.1,1.39,0.05,-0.02,111.0,4.26
690,11.4833,-15.55,14.21,91.5,15.95,0.00,-0.02,84.9,1.38,0.02,0.02,143.4,4.28
691,11.5000,-15.68,14.35,98.7,15.87,0.01,0.02,85.4,1.41,0.03,0.02,117.0,4.30
692,11.5167,-14.66,16.03,63.9,15.70,0.03,-0.01,99.1,1.39,0.01,-0.01,116.5,4.30
693,11.5333,-14.71,15.97,58.5,15.60,0.01,-0.00,105.6,1.38,0.06,0.00,112.7,4.30
694,11.5500,-19.51,18.42,59.2,15.51,0.01,0.00,109.4,1.39,0.04,0.01,110.4,4.28
695,11.5667,-18.50,18.08,80.7,15.47,-0.02,-0.00,120.9,1.39,0.02,-0.00,80.9,4.32
696,11.5833,-25.29,22.51,84.4,15.37,0.01,0.01,128.4,1.38,0.02,-0.07,85.8,4.45
697,11.6000,-26.11,23.19,91.3,15.13,-0.01,0.00,143.5,1.37,0.19,-0.01,62.3,4.72
698,11.6167,-25.74,22.66,108.1,14.68,0.00,-0.00,162.1,1.38,0.43,-0.00,63.6,4.91
699,11.6333,-26.13,23.06,91.1,14.43,0.00,0.00,172.8,1.38,-11.88,11.98,76.3,4.87
700,11.6500,-17.80,16.66,129.4,14.39,0.00,0.00,191.9,1.42,-12.04,12.02,73.9,4.77
701,11.6667,-17.60,16.44,136.6,14.44,-0.00,0.00,198.4,1.54,0.03,1.86,58.1,4.82
702,11.6833,-17.43,16.91,105.8,14.34,-0.00,0.00,204.1,1.72,0.07,1.88,62.5,4.78
703,11.7000,-16.78,16.41,113.1,14.04,-0.00,-0.00,208.3,1.82,-0.24,3.64,45.7,4.73
704,11.7167,-8.88,3.67,159.7,14.19,-0.00,0.00,204.5,1.91,0.20,4.10,57.2,4.66
705,11.7333,85.66,12.08,34.1,14.79,0.00,-0.00,184.8,2.95,6.02,-0.02,125.6,4.60
706,11.7500,-4.12,23.16,109.3,14.32,0.00,0.01,142.9,4.36,-1.20,7.99,48.2,4.55
707,11.7667,-3.93,33.16,114.4,13.58,-0.00,0.02,119.4,4.83,8.02,0.00,112.7,4.48
708,11.7833,-2.21,25.24,107.1,13.01,-0.00,0.02,94.5,5.08,9.92,-0.09,83.0,4.40
709,11.8000,-1.82,45.93,85.0,12.33,0.02,-0.01,78.9,5.04,-0.30,9.95,59.0,4.32
710,11.8167,-0.05,-0.02,86.9,11.74,-0.00,0.03,73.0,4.96,12.00,-0.06,92.5,4.32
711,11.8333,-0.01,-0.02,136.4,10.59,0.01,0.02,88.8,4.17,13.13,-0.01,69.6,4.34
712,11.8500,0.03,0.03,139.8,10.51,-0.01,-0.00,110.5,3.72,12.24,1.85,89.8,4.35
713,11.8667,0.03,-0.01,136.9,10.53,-0.00,0.00,154.4,1.31,4.18,9.95,60.6,4.28
714,11.8833,-0.04,6.16,136.3,10.47,-0.00,-0.00,225.3,1.32,15.81,-0.01,125.4,4.24
715,11.9000,0.00,0.01,143.7,10.33,0.00,0.00,221.2,1.34,15.82,0.23,90.5,4.20
716,11.9167,0.03,5.94,122.4,10.29,0.00,0.00,230.5,1.35,17.24,-0.28,59.5,4.19
717,11.9333,0.02,0.04,130.1,10.05,-0.00,0.00,226.7,1.36,8.01,8.40,42.0,4.07
718,11.9500,0.06,6.68,118.3,9.80,0.00,0.00,232.7,1.37,1.91,14.31,49.9,4.14
719,11.9667,0.03,0.03,153.5,9.54,0.00,-0.00,231.2,1.38,-0.01,-0.02,33.9,4.14
720,11.9833,0.01,0.01,143.8,9.37,-0.00,-0.00,225.3,1.39,3.89,13.95,108.7,4.17
721,12.0000,-0.04,9.38,84.0,9.19,-0.00,-0.01,188.9,1.35,5.26,14.24,49.3,4.16
722,12.0167,0.02,0.02,84.9,9.10,-0.00,-0.00,218.4,1.35,-0.02,-0.01,47.1,4.17
723,12.0333,-0.02,8.07,101.3,9.02,-0.00,-0.00,210.0,1.37,4.07,14.10,41.2,4.17
724,12.0500,-0.08,8.22,99.1,8.99,-0.00,-0.00,205.3,1.40,5.21,14.12,60.7,4.18
725,12.0667,-0.04,8.27,94.6,8.98,0.00,0.00,199.8,1.40,3.97,15.17,71.8,4.18
726,12.0833,-0.09,7.79,140.4,9.00,-0.01,-0.00,189.2,1.38,4.10,14.16,104.0,4.18
727,12.1000,-0.00,0.08,119.4,9.03,-0.00,-0.00,174.5,1.38,1.35,13.99,86.1,4.16
728,12.1167,-0.04,-0.08,174.4,9.06,0.00,0.01,169.0,1.40,-0.10,12.12,91.9,4.16
729,12.1333,-0.12,0.34,71.6,9.12,-0.01,0.01,152.0,1.39,-3.88,12.05,80.3,4.16
730,12.1500,0.04,0.04,228.0,9.23,0.01,0.01,150.2,1.39,-5.94,10.20,92.0,4.16
731,12.1667,0.03,0.02,254.5,9.34,-0.00,0.00,138.8,1.38,0.10,-0.01,80.5,4.14
732,12.1833,-0.03,-0.01,292.9,9.42,-0.00,-0.00,127.8,1.38,-0.29,-0.04,77.3,4.15
733,12.2000,-0.02,-0.02,282.8,9.53,-0.01,0.01,114.0,1.38,-0.04,-0.01,65.1,4.21
734,12.2167,-0.01,-0.04,161.7,9.65,-0.01,0.02,107.5,1.38,-0.03,0.03,63.5,4.33
735,12.2333,0.02,0.02,156.3,9.78,0.00,0.01,103.5,1.37,-0.08,0.00,61.1,4.43
736,12.2500,-7.53,0.03,106.4,9.79,-0.02,0.02,104.5,1.37,-14.05,3.97,91.7,5.63
737,12.2667,-8.38,0.08,98.9,9.77,0.01,0.01,85.9,1.37,-14.00,1.99,105.0,7.03
738,12.2833,-8.92,-0.03,89.2,9.70,0.01,-0.01,100.3,1.38,-15.69,2.42,58.1,7.76
739,12.3000,-0.04,0.01,142.3,9.65,-0.01,0.02,97.0,1.38,-14.32,0.02,104.4,8.33
740,12.3167,-11.29,-0.01,105.0,9.58,0.03,-0.01,86.6,1.37,-15.82,0.01,129.0,8.78
741,12.3333,-0.03,-0.03,94.5,9.59,-0.02,-0.00,81.0,1.36,-15.99,-0.03,173.0,9.24
742,12.3500,-0.00,-0.03,104.0,9.57,0.00,0.01,91.3,1.36,-16.05,-0.26,105.3,9.59
743,12.3667,0.01,-0.04,85.1,9.57,0.03,-0.02,80.6,1.37,-16.00,-1.86,79.0,9.80
744,12.3833,-0.01,0.02,119.0,9.66,0.02,-0.03,66.3,1.37,-16.08,-1.94,102.8,10.03
745,12.4000,-13.21,-0.11,85.2,9.83,-0.01,-0.01,106.4,1.40,-16.93,-2.02,63.4,10.18
746,12.4167,-12.00,-0.04,106.6,9.97,-11.96,0.03,33.6,1.40,-16.09,-1.83,87.8,10.24
747,12.4333,-11.90,-0.06,103.4,9.98,0.00,0.01,105.6,1.38,-16.20,-1.95,85.3,10.08
748,12.4500,-12.99,-0.07,69.7,9.96,0.01,0.01,102.4,1.40,-16.18,-1.59,64.8,9.94
749,12.4667,-13.19,-0.25,82.3,9.97,-0.02,-0.01,108.5,1.41,-17.82,-0.05,120.4,9.62
750,12.4833,-12.12,-0.07,89.8,9.96,-0.02,0.00,112.4,1.39,-16.56,-0.26,90.6,9.23
751,12.5000,-10.44,0.01,99.6,10.16,0.00,-0.00,121.0,1.40,-16.01,0.02,139.0,8.56
752,12.5167,-12.01,-0.01,88.9,10.43,0.01,-0.01,124.2,1.38,-16.02,0.09,73.9,8.08
753,12.5333,-13.75,0.27,72.6,10.63,0.02,-0.00,133.3,1.36,-17.32,1.92,35.0,7.46
754,12.5500,-14.01,1.21,63.0,10.70,0.02,-0.01,151.3,1.36,-13.61,0.14,52.5,6.88
755,12.5667,-13.82,1.78,72.5,10.73,0.00,-0.00,157.2,1.35,-16.40,3.83,59.9,5.35
756,12.5833,0.00,0.02,116.8,10.68,0.01,-0.00,163.3,1.33,-16.00,3.98,84.8,4.53
757,12.6000,-12.59,2.16,49.6,10.62,0.00,0.01,182.5,1.33,-15.69,4.52,47.5,4.45
758,12.6167,0.01,-0.02,124.4,10.52,0.00,0.00,190.0,1.36,-10.07,-0.04,50.7,4.38
759,12.6333,-0.02,0.01,99.5,10.49,-0.00,-0.01,198.1,1.34,-8.09,-0.13,45.4,4.34
760,12.6500,-12.17,3.97,97.6,10.33,-47.99,112.08,9.5,0.77,16.04,-21.95,31.8,4.15
761,12.6667,-12.08,4.16,131.2,10.21,0.00,0.00,182.8,0.81,-14.06,6.28,44.6,4.11
762,12.6833,-11.82,4.23,105.7,10.20,-0.01,-0.00,179.0,0.82,-0.05,-5.96,109.0,4.11
763,12.7000,-11.87,4.34,110.4,10.23,0.02,0.01,141.3,0.83,-5.91,-0.05,104.8,4.10
764,12.7167,-11.63,4.52,96.2,10.13,0.01,0.02,107.8,0.85,-5.86,-0.03,81.3,4.11
765,12.7333,-11.50,4.92,80.4,10.14,-0.01,0.01,183.2,0.84,-14.00,7.94,60.8,4.12
766,12.7500,-11.45,5.32,95.2,9.99,0.01,-0.01,188.3,0.85,-5.15,0.09,85.3,4.13
767,12.7667,-11.39,5.50,97.1,9.79,0.03,0.01,144.3,0.87,-4.12,-0.07,76.0,4.13
768,12.7833,-11.14,5.59,87.6,9.62,0.01,-0.01,173.3,0.90,-2.04,-1.93,89.8,4.11
769,12.8000,-10.93,5.55,98.8,9.59,0.00,-0.00,191.0,0.91,-4.02,0.03,143.4,4.08
770,12.8167,-10.77,5.47,100.9,9.57,-0.02,0.00,190.0,0.93,-3.82,-0.05,108.8,4.07
771,12.8333,-10.68,5.79,103.4,9.51,-0.00,0.02,157.9,0.95,0.19,-3.45,92.7,4.08
772,12.8500,-10.28,5.71,130.7,9.43,0.00,0.01,182.5,0.96,-2.15,-0.40,84.0,4.08
773,12.8667,-10.83,5.81,108.2,9.50,0.00,0.00,178.4,0.99,-2.43,-0.09,99.5,4.07
774,12.8833,-10.41,5.62,115.7,9.56,-0.01,0.01,156.8,0.99,-2.75,0.04,97.8,4.08
775,12.9000,-10.30,5.87,112.2,9.44,0.00,-0.00,197.6,1.01,1.96,-4.01,126.9,4.08
776,12.9167,-10.92,5.76,104.7,9.55,0.00,0.01,167.7,1.05,2.01,-3.94,105.5,4.06
777,12.9333,-10.35,5.84,109.2,9.69,0.00,-0.01,159.3,1.07,-0.01,-1.88,126.8,4.07
778,12.9500,-10.46,5.88,113.5,9.80,0.00,-0.00,144.2,1.10,0.01,-1.94,133.6,4.08
779,12.9667,-10.83,5.89,85.3,9.87,-0.01,0.00,135.3,1.12,-0.02,-1.93,145.4,4.08
780,12.9833,-10.63,5.92,91.6,9.98,-0.01,-0.01,101.3,1.15,-0.00,-1.92,165.1,4.10
781,13.0000,-8.17,4.17,81.6,10.09,0.01,-0.00,104.7,1.19,-1.94,-0.03,175.2,4.10
782,13.0167,-10.53,5.96,89.2,10.19,-0.01,-0.02,112.4,1.21,-1.92,-0.01,150.2,4.11
783,13.0333,-8.09,4.27,92.6,10.34,0.01,-0.02,91.4,1.22,-1.61,-0.06,100.5,4.13
784,13.0500,-10.49,6.10,82.2,10.56,-0.01,-0.05,76.5,1.25,-1.70,-0.04,104.2,4.15
785,13.0667,-10.35,6.18,96.5,10.79,0.03,-0.00,40.3,1.32,14.06,-14.14,34.8,4.09
786,13.0833,-11.45,8.03,106.3,10.90,-0.02,-0.03,83.2,1.32,-0.01,-1.78,82.6,4.22
787,13.1000,-10.11,7.96,97.3,11.62,0.03,-0.00,86.5,1.35,-0.12,-2.37,88.9,4.38
788,13.1167,-13.92,11.92,119.2,13.06,-0.01,0.02,84.3,1.37,0.08,-3.79,87.3,5.90
789,13.1333,-13.43,12.36,86.7,13.72,0.02,-0.06,77.6,1.69,-14.04,8.07,62.9,7.80
790,13.1500,-11.96,13.85,76.0,14.22,0.02,-0.01,80.7,2.01,-15.64,8.73,42.4,11.16
791,13.1667,-7.36,14.04,59.8,14.63,0.00,-0.01,82.8,2.47,0.16,16.68,49.3,12.81
792,13.1833,-9.98,16.03,104.6,15.04,0.02,-0.00,87.1,5.88,0.06,13.40,112.3,13.34
793,13.2000,-8.13,15.95,122.1,15.24,-0.01,0.00,108.1,9.06,-0.18,9.89,179.7,13.78
794,13.2167,-7.70,16.15,89.8,15.66,0.00,0.01,114.7,10.67,-0.48,6.41,138.8,13.75
795,13.2333,-7.62,16.22,93.9,15.93,-0.00,0.01,99.4,11.62,-0.62,4.02,173.0,13.74
796,13.2500,-7.58,16.26,89.8,16.20,-0.00,0.01,88.0,12.43,-0.62,2.16,161.6,13.80
797,13.2667,-7.16,16.33,93.6,16.49,0.01,-0.01,76.3,13.00,-1.21,1.61,126.7,13.73
798,13.2833,-7.50,16.51,88.0,16.75,-5.98,1.25,65.0,13.37,-0.77,0.72,110.6,13.77
799,13.3000,-8.05,16.06,157.6,16.70,-3.25,-0.47,43.0,13.47,-1.01,1.52,115.3,13.73
800,13.3167,-8.11,16.07,141.7,16.66,-0.18,0.21,80.6,13.57,-0.89,1.33,116.5,13.74
801,13.3333,-8.20,15.87,122.1,16.75,0.77,-0.30,61.2,13.48,-0.71,0.27,148.3,13.72
802,13.3500,-8.38,15.51,103.6,16.87,1.74,-0.44,51.4,13.31,-0.67,-0.09,174.4,13.68
803,13.3667,-7.85,14.52,113.8,16.99,3.93,-0.19,64.8,13.04,-0.49,-1.09,123.7,13.75
804,13.3833,-8.10,14.13,159.2,17.03,-0.17,0.00,63.9,12.73,-0.47,-1.70,162.7,13.95
805,13.4000,-8.19,13.87,149.1,17.00,-0.34,-0.03,72.4,12.31,-0.45,-1.96,203.7,13.84
806,13.4167,-8.22,13.38,126.8,17.18,-0.53,-0.02,69.5,11.72,-0.34,-2.12,196.5,13.99
807,13.4333,-7.92,12.32,162.8,17.20,-1.11,0.04,82.8,11.13,-0.31,-2.31,169.4,13.97
808,13.4500,-8.05,12.07,201.6,16.91,-0.27,-0.01,120.1,10.24,-0.37,-2.98,127.3,13.79
809,13.4667,-8.14,11.88,190.2,16.74,-0.15,0.01,127.2,9.39,-0.21,-3.62,166.5,13.84
810,13.4833,-8.17,11.50,162.8,16.65,-0.03,0.01,166.7,7.89,-0.27,-3.79,168.4,14.00
811,13.5000,-7.87,10.41,178.2,16.65,0.00,0.02,196.2,6.20,-0.22,-3.89,177.6,14.07
812,13.5167,-7.99,10.16,234.6,16.57,0.01,0.01,215.5,4.58,-0.19,-3.97,172.8,13.76
813,13.5333,-8.04,10.01,256.1,16.65,0.02,0.04,167.9,3.31,-0.19,-4.03,165.2,13.54
814,13.5500,-8.09,9.92,258.8,16.77,0.16,0.05,100.0,2.80,-0.21,-4.06,153.1,13.10
815,13.5667,-8.17,9.65,216.8,16.95,0.28,0.05,96.8,2.63,-0.18,-4.04,135.9,12.86
816,13.5833,-8.27,9.14,180.4,17.26,0.25,0.09,89.7,2.58,0.02,-0.19,135.9,12.73
817,13.6000,-7.93,8.48,210.7,17.57,0.27,0.02,95.8,2.61,0.09,-0.38,115.0,12.47
818,13.6167,-7.99,8.24,252.5,17.60,0.26,-0.00,94.5,2.71,0.07,-0.51,106.0,12.33
819,13.6333,-8.04,8.14,293.5,17.41,0.27,0.03,78.5,2.97,1.05,-0.38,68.8,12.07
820,13.6500,-8.06,8.04,347.7,17.04,0.08,0.04,108.1,3.26,0.67,-0.53,94.9,11.91
821,13.6667,-8.11,8.01,335.0,16.91,0.12,0.06,88.1,3.60,0.85,-0.36,90.3,11.63
822,13.6833,-8.16,7.95,301.9,16.96,0.11,0.06,71.7,3.84,0.62,-0.07,120.6,11.42
