frame,t,knob_x,knob_y,knob_method,base_x,base_y,ring_r,base_method,knob_dist,knob_angle_deg,hole_vx,hole_vy,hole_speed,travel_angle_deg
323,5.4127,997.0,1983.0,H,956.0,2032.0,162.1999969482422,H,63.9,-50.1,0.27,-0.44,0.52,-58.7
324,5.4295,1003.0,1979.0,H,958.0,2028.0,165.0,H,66.5,-47.4,-0.11,-0.29,0.32,-110.9
325,5.4463,1007.0,1969.0,H,956.0,2032.0,160.39999389648438,H,81.1,-51.0,0.02,-0.29,0.29,-85.5
326,5.4631,1009.0,1965.0,H,958.0,2030.0,169.39999389648438,H,82.6,-51.9,0.01,-0.21,0.21,-86.7
327,5.4799,1011.0,1961.0,H,958.0,2032.0,169.0,H,88.6,-53.3,-0.09,-0.22,0.24,-111.8
328,5.4967,1015.0,1957.0,H,960.0,2032.0,165.0,H,93.0,-53.7,-0.0,-0.29,0.29,-90.8
329,5.5135,1015.0,1951.0,H,956.0,2032.0,160.39999389648438,H,100.2,-53.9,-0.05,-0.36,0.37,-98.1
330,5.5303,1017.0,1945.0,H,956.0,2032.0,160.60000610351562,H,106.3,-55.0,-0.13,-0.41,0.43,-107.4
331,5.5472,1015.0,1943.0,H,956.0,2032.0,160.60000610351562,H,106.8,-56.5,0.03,-0.39,0.39,-85.0
332,5.564,1017.0,1935.0,H,952.0,2030.0,165.0,H,115.1,-55.6,0.14,-0.42,0.44,-71.8
333,5.5808,1015.0,1929.0,H,956.0,2028.0,165.0,H,115.2,-59.2,-0.1,-0.66,0.67,-98.5
334,5.5976,1015.0,1919.0,H,956.0,2032.0,160.60000610351562,H,127.5,-62.4,0.17,-0.46,0.49,-69.1
335,5.6144,1009.0,1905.0,H,956.0,2032.0,160.39999389648438,H,137.6,-67.3,0.18,-0.62,0.65,-73.6
336,5.6312,1001.0,1891.0,H,958.0,2030.0,169.39999389648438,H,145.5,-72.8,0.42,-0.66,0.78,-57.5
337,5.648,993.0,1877.0,H,960.0,2030.0,164.8000030517578,H,156.5,-77.8,0.29,-0.83,0.88,-70.7
338,5.6648,987.0,1859.0,H,956.0,2030.0,160.60000610351562,H,173.8,-79.7,0.29,-1.05,1.08,-74.7
339,5.6816,983.0,1855.0,H,956.0,2028.0,169.39999389648438,H,175.1,-81.1,0.26,-1.19,1.22,-77.6
340,5.6984,977.0,1851.0,H,958.0,2026.0,160.60000610351562,H,176.0,-83.8,0.4,-1.38,1.43,-73.9
341,5.7152,973.0,1843.0,H,962.0,2018.0,165.0,H,175.3,-86.4,0.45,-1.81,1.86,-76.1
342,5.7321,969.0,1831.0,H,960.0,2008.0,160.39999389648438,H,177.2,-87.1,1.03,-1.05,1.47,-45.5
343,5.7489,971.0,1821.0,H,960.0,1998.0,169.1999969482422,H,177.3,-86.4,0.96,-1.57,1.84,-58.4
344,5.7657,969.0,1813.0,H,960.0,1990.0,165.0,H,177.2,-87.1,1.12,-1.84,2.16,-58.8
345,5.7825,969.0,1801.0,H,966.0,1978.0,165.0,H,177.0,-89.0,0.34,-1.12,1.17,-73.3
346,5.7993,969.0,1791.0,H,962.0,1966.0,169.1999969482422,H,175.1,-87.7,0.48,-1.9,1.96,-75.7
347,5.8161,969.0,1781.0,H,964.0,1958.0,166.8000030517578,H,177.1,-88.4,0.58,-2.22,2.3,-75.3
