frame,t_s,diameter_px,centre_x,centre_y,span_row,span,height,area,rim_l,rim_r,rim_outer,occl,ncomp,widest_y
346,5.7500,76,682.5,1385.5,82,82,54,1783,0,0,82,0,1,1383
347,5.7667,84,682.0,1383.0,85,85,55,2204,0,0,85,0,1,1384
348,5.7833,90,681.5,1379.5,90,90,52,2952,0,0,90,0,1,1383
349,5.8000,94,681.5,1379.5,94,95,56,3886,0,0,94,0,1,1380
350,5.8167,99,681.0,1379.0,99,99,59,4501,0,0,99,0,1,1376
351,5.8333,104,680.5,1380.5,104,104,66,5130,0,0,104,0,1,1376
352,5.8500,108,679.5,1380.0,108,108,69,5630,0,0,108,0,1,1378
