frame_a,frame_b,t_b,s_step,peak,cum
742,744,12.3833,0.9980,103.7,0.9980
744,746,12.4167,0.9982,90.0,0.9963
746,748,12.4500,0.9924,76.5,0.9887
748,750,12.4833,0.9910,68.2,0.9797
750,752,12.5167,0.9980,52.5,0.9778
752,754,12.5500,0.9958,57.3,0.9738
754,756,12.5833,0.9958,68.4,0.9696
756,758,12.6167,0.9949,55.6,0.9647
758,760,12.6500,0.9993,73.1,0.9641
760,762,12.6833,0.9995,110.5,0.9636
762,764,12.7167,0.9992,72.7,0.9628
764,766,12.7500,0.9993,95.4,0.9621
766,768,12.7833,0.9992,90.5,0.9613
768,770,12.8167,0.9991,122.6,0.9605
770,772,12.8500,0.9990,109.3,0.9595
772,774,12.8833,0.9994,137.8,0.9589
774,776,12.9167,0.9993,115.4,0.9582
776,778,12.9500,0.9988,86.4,0.9571
778,780,12.9833,0.9991,95.6,0.9562
780,782,13.0167,0.9994,119.4,0.9556
782,784,13.0500,0.9993,101.6,0.9550
784,786,13.0833,0.9920,101.0,0.9473
786,788,13.1167,0.9900,82.1,0.9379
788,790,13.1500,0.9928,62.3,0.9311
790,792,13.1833,0.9990,92.1,0.9302
792,794,13.2167,0.9988,108.8,0.9291
794,796,13.2500,0.9990,125.0,0.9282
796,798,13.2833,0.9993,125.7,0.9275
798,800,13.3167,0.9979,92.8,0.9255
800,802,13.3500,0.9990,95.4,0.9246
802,804,13.3833,0.9993,97.1,0.9239
804,806,13.4167,0.9944,92.7,0.9187
806,808,13.4500,0.9954,104.5,0.9145
808,810,13.4833,0.9829,111.7,0.8989
810,812,13.5167,0.9830,119.0,0.8836
812,814,13.5500,0.9947,175.2,0.8789
814,816,13.5833,0.9989,183.2,0.8779
816,818,13.6167,0.9947,189.8,0.8733
818,820,13.6500,0.9990,224.9,0.8724
820,822,13.6833,0.9953,241.4,0.8683
822,824,13.7167,0.9956,193.2,0.8645
824,826,13.7500,0.9975,165.0,0.8623
826,828,13.7833,0.9990,200.8,0.8615
828,830,13.8167,0.9990,154.4,0.8606
830,832,13.8500,0.9991,163.4,0.8599
832,834,13.8833,0.9991,159.1,0.8591
834,836,13.9167,0.9991,148.7,0.8583
836,838,13.9500,0.9992,122.3,0.8576
838,840,13.9833,0.9992,77.8,0.8570
840,842,14.0167,0.9993,59.5,0.8563
842,844,14.0500,0.9729,54.2,0.8331
844,846,14.0833,0.9980,47.5,0.8314
846,848,14.1167,0.9981,52.2,0.8298
848,850,14.1500,0.9869,62.4,0.8190
850,852,14.1833,0.9981,70.6,0.8174
852,854,14.2167,0.9959,64.0,0.8140
854,856,14.2500,0.9984,82.6,0.8127
856,858,14.2833,0.9976,90.5,0.8107
858,860,14.3167,0.9863,89.1,0.7997
860,862,14.3500,0.9874,77.0,0.7896
862,864,14.3833,0.9923,75.0,0.7835
864,866,14.4167,0.9958,56.1,0.7802
866,868,14.4500,0.9950,117.3,0.7763
868,870,14.4833,0.9992,129.6,0.7756
870,872,14.5167,0.9989,105.9,0.7748
872,874,14.5500,0.9992,146.0,0.7742
874,876,14.5833,0.9988,133.7,0.7733
876,878,14.6167,0.9954,138.3,0.7697
878,880,14.6500,0.9992,162.5,0.7691
880,882,14.6833,0.9992,162.9,0.7685
882,884,14.7167,0.9992,146.0,0.7679
884,886,14.7500,0.9992,151.5,0.7673
886,888,14.7833,0.9992,153.0,0.7667
888,890,14.8167,0.9993,156.6,0.7661
890,892,14.8500,0.9992,128.3,0.7655
892,894,14.8833,0.9990,116.7,0.7648
894,896,14.9167,0.9991,102.6,0.7641
896,898,14.9500,0.9991,101.8,0.7634
898,900,14.9833,0.9992,90.6,0.7628
900,902,15.0167,0.9991,98.0,0.7621
