frame,t_s,base_x,base_y,r,score,knob_x,knob_y,dist
361,6.0000,965.0,1910.3,165,64.33,1001.0,1736.3,177.7
362,6.0167,964.8,1909.5,165,67.28,1007.8,1736.5,178.3
363,6.0333,965.7,1907.6,165,66.64,1013.7,1736.6,177.6
364,6.0500,966.5,1906.8,165,67.98,1021.5,1737.8,177.7
365,6.0667,966.7,1905.2,165,66.20,1027.7,1738.2,177.8
366,6.0833,966.9,1903.6,165,67.65,1032.9,1738.6,177.7
367,6.1000,967.4,1902.4,165,62.85,1038.4,1738.4,178.7
368,6.1167,968.3,1899.6,165,63.11,1041.3,1737.6,177.7
369,6.1333,969.5,1898.7,165,63.16,1044.5,1737.7,177.6
370,6.1500,969.4,1896.7,165,61.82,1046.4,1736.7,177.6
371,6.1667,969.0,1895.0,165,61.51,1047.0,1735.0,178.0
372,6.1833,970.4,1894.6,165,61.61,1047.4,1734.6,177.6
373,6.2000,971.2,1894.2,165,61.67,1047.2,1734.2,177.1
374,6.2167,971.1,1894.2,165,61.76,1047.1,1734.2,177.1
375,6.2333,971.2,1894.1,165,61.28,1047.2,1734.1,177.1
376,6.2500,971.2,1894.0,165,61.14,1047.2,1734.0,177.1
377,6.2667,971.2,1894.0,165,61.38,1047.2,1734.0,177.1
378,6.2833,971.2,1894.0,165,61.68,1047.2,1734.0,177.1
379,6.3000,971.2,1893.9,165,62.25,1047.2,1733.9,177.1
380,6.3167,971.2,1893.9,165,63.00,1047.2,1733.9,177.1
381,6.3333,971.4,1893.4,165,63.02,1047.4,1734.4,176.2
382,6.3500,970.3,1893.9,165,63.61,1046.3,1733.9,177.1
383,6.3667,971.9,1893.3,165,64.05,1034.9,1728.3,176.6
384,6.3833,971.8,1890.4,165,64.01,1017.8,1719.4,177.1
385,6.4000,972.4,1885.5,165,64.12,999.4,1709.5,178.1
386,6.4167,974.3,1876.2,165,63.47,982.3,1699.2,177.2
387,6.4333,976.3,1865.7,165,61.99,967.3,1688.7,177.2
388,6.4500,974.6,1853.1,165,59.83,953.6,1677.1,177.2
389,6.4667,975.0,1839.3,165,60.40,942.0,1666.3,176.1
390,6.4833,972.5,1826.7,165,62.86,930.5,1654.7,177.1
391,6.5000,970.3,1813.4,165,62.97,920.3,1643.4,177.2
392,6.5167,966.9,1798.8,165,63.43,908.9,1632.8,175.8
393,6.5333,963.1,1786.3,165,65.70,900.1,1621.3,176.6
394,6.5500,959.0,1774.3,165,66.17,890.0,1611.3,177.0
395,6.5667,953.9,1761.7,165,65.63,881.9,1601.7,175.5
396,6.5833,950.5,1752.4,165,66.32,875.5,1593.4,175.8
397,6.6000,947.2,1744.8,165,66.74,870.2,1586.8,175.8
398,6.6167,943.1,1738.1,165,68.56,866.1,1581.1,174.9
399,6.6333,941.8,1732.6,165,68.07,863.8,1576.6,174.4
400,6.6500,939.5,1729.9,165,68.72,861.5,1572.9,175.3
401,6.6667,938.9,1727.0,165,69.45,860.9,1570.0,175.3
402,6.6833,937.1,1725.3,165,68.33,860.1,1567.3,175.8
403,6.7000,936.9,1723.1,165,64.62,858.9,1567.1,174.4
404,6.7167,936.5,1721.6,165,65.35,858.5,1565.6,174.4
405,6.7333,935.5,1721.8,165,67.21,858.5,1564.8,174.9
406,6.7500,935.1,1721.2,165,67.37,858.1,1564.2,174.9
