frame,t_s,diameter_px,centre_x,centre_y,run_ctr,span,height,comp_area,seed_ok
340,5.6500,37,681.0,1393.5,30,55,40,1049,1
341,5.6667,30,664.5,1391.5,30,51,44,1029,1
342,5.6833,33,668.0,1391.0,31,47,45,1037,1
343,5.7000,36,666.5,1389.0,31,37,45,1006,1
344,5.7167,36,666.5,1388.0,35,39,43,1055,1
345,5.7333,49,683.0,1386.5,26,69,48,1294,1
346,5.7500,61,682.0,1385.5,17,76,50,1467,0
347,5.7667,80,682.5,1383.0,46,84,51,1933,1
348,5.7833,87,681.0,1378.5,84,88,48,2693,1
349,5.8000,93,681.0,1380.0,93,93,55,3620,1
350,5.8167,98,680.5,1379.0,98,98,59,4247,1
351,5.8333,103,680.0,1380.5,101,103,64,4827,1
352,5.8500,108,679.5,1380.5,107,108,66,5312,1
353,5.8667,110,678.5,1379.0,109,110,71,5857,1
354,5.8833,115,677.0,1378.5,114,115,74,6488,1
355,5.9000,121,676.0,1378.0,121,122,77,7137,1
356,5.9167,126,675.5,1377.0,126,127,81,7894,1
357,5.9333,134,677.5,1376.5,131,135,86,8629,1
358,5.9500,145,677.0,1377.0,145,145,89,9520,1
359,5.9667,150,676.5,1377.0,150,150,93,10464,1
360,5.9833,157,676.0,1376.5,157,157,98,11485,1
361,6.0000,163,676.0,1376.0,162,164,103,12504,1
362,6.0167,171,676.0,1377.0,171,171,107,13660,1
363,6.0333,178,676.5,1377.0,178,178,113,14862,1
364,6.0500,185,677.0,1378.0,185,185,117,16188,1
365,6.0667,193,678.0,1378.0,192,193,121,17545,1
366,6.0833,200,679.5,1379.0,200,200,127,19011,1
367,6.1000,209,680.0,1380.0,208,209,131,20455,1
368,6.1167,217,681.0,1381.0,214,217,137,21925,1
369,6.1333,223,682.0,1382.0,223,224,141,23472,1
370,6.1500,231,684.0,1383.5,230,231,144,24998,1
371,6.1667,237,685.0,1385.5,236,237,150,26528,1
372,6.1833,243,686.0,1386.5,241,243,154,28079,1
373,6.2000,250,686.5,1388.5,248,250,158,29540,1
374,6.2167,256,687.5,1389.5,254,256,162,30992,1
375,6.2333,261,688.0,1390.0,261,262,165,32515,1
376,6.2500,267,689.0,1392.0,266,267,169,33772,1
377,6.2667,272,689.5,1393.0,271,272,173,35024,1
378,6.2833,276,689.5,1394.0,275,276,175,36168,1
379,6.3000,280,689.5,1395.5,279,280,176,37174,1
380,6.3167,283,690.0,1396.5,283,283,178,38049,1
381,6.3333,285,690.0,1398.0,285,286,181,38792,1
382,6.3500,289,689.0,1399.0,286,289,183,39429,1
383,6.3667,291,689.0,1399.0,288,291,183,39798,1
384,6.3833,291,689.0,1398.5,290,291,184,40105,1
385,6.4000,292,688.5,1398.5,290,292,184,40251,1
386,6.4167,292,686.5,1398.0,290,292,185,40251,1
387,6.4333,292,682.5,1397.0,290,292,185,40266,1
388,6.4500,291,678.0,1397.0,290,291,185,40222,1
389,6.4667,292,673.5,1397.0,291,292,185,40218,1
390,6.4833,292,669.5,1396.5,291,292,184,40231,1
391,6.5000,291,665.0,1396.0,290,291,185,40225,1
392,6.5167,290,660.5,1396.0,289,291,185,40190,1
393,6.5333,292,656.5,1396.0,291,292,185,40260,1
394,6.5500,291,652.0,1396.0,290,292,185,40300,1
395,6.5667,292,648.5,1396.0,290,292,185,40269,1
396,6.5833,291,645.0,1396.5,290,292,186,40279,1
397,6.6000,291,642.0,1397.0,290,291,183,40227,1
398,6.6167,291,639.0,1397.5,290,292,184,40326,1
399,6.6333,290,637.5,1397.5,289,290,184,40268,1
400,6.6500,290,636.5,1398.5,289,291,184,40274,1
401,6.6667,291,634.0,1398.5,290,291,184,40318,1
402,6.6833,291,633.0,1398.5,290,292,184,40312,1
403,6.7000,290,632.5,1398.5,289,291,184,40279,1
404,6.7167,290,631.5,1399.0,289,291,185,40281,1
405,6.7333,292,630.5,1399.5,290,292,184,40288,1
406,6.7500,291,630.0,1399.5,291,291,184,40311,1
407,6.7667,291,630.0,1399.5,289,291,184,40323,1
408,6.7833,291,630.0,1399.5,290,291,184,40325,1
409,6.8000,292,629.5,1399.5,291,293,184,40343,1
410,6.8167,291,629.0,1399.5,289,292,184,40379,1
411,6.8333,291,629.0,1399.5,289,292,184,40359,1
412,6.8500,292,628.5,1399.5,291,292,184,40365,1
413,6.8667,291,629.0,1399.5,291,292,184,40374,1
414,6.8833,291,629.0,1399.5,291,292,184,40379,1
415,6.9000,291,629.0,1399.5,291,292,184,40379,1
416,6.9167,291,629.0,1399.5,291,292,184,40386,1
417,6.9333,292,628.5,1399.5,291,292,184,40394,1
418,6.9500,291,629.0,1399.5,289,292,184,40326,1
419,6.9667,291,630.0,1400.0,290,292,185,40265,1
420,6.9833,291,630.0,1398.5,289,291,184,40284,1
421,7.0000,292,631.5,1399.0,290,292,185,40245,1
422,7.0167,291,634.0,1397.5,289,292,184,40242,1
423,7.0333,292,635.5,1397.5,289,292,184,40196,1
424,7.0500,292,637.5,1397.0,289,292,183,40157,1
425,7.0667,292,639.5,1396.5,291,292,184,40171,1
426,7.0833,289,641.0,1396.0,288,289,183,40099,1
427,7.1000,290,642.5,1396.5,289,291,184,40120,1
428,7.1167,291,644.0,1395.5,290,292,184,40129,1
429,7.1333,290,644.5,1395.5,290,291,184,40082,1
430,7.1500,290,644.5,1395.5,290,291,184,40080,1
431,7.1667,290,646.5,1395.5,290,291,184,40095,1
432,7.1833,291,646.0,1395.5,291,292,184,40029,1
433,7.2000,290,646.5,1395.0,290,291,185,40051,1
434,7.2167,291,647.0,1395.0,289,291,185,40044,1
435,7.2333,291,648.0,1394.5,287,291,184,40039,1
436,7.2500,291,648.0,1394.5,289,291,184,40056,1
437,7.2667,290,648.5,1394.5,289,290,184,40057,1
438,7.2833,290,648.5,1394.5,288,290,184,40051,1
439,7.3000,292,649.5,1394.5,290,292,184,40083,1
440,7.3167,292,649.5,1394.5,290,292,184,40070,1
441,7.3333,292,649.5,1394.5,289,292,184,40041,1
442,7.3500,292,649.5,1395.0,290,292,185,40101,1
443,7.3667,291,651.0,1394.5,289,291,184,40068,1
444,7.3833,291,651.0,1394.5,289,291,184,40026,1
445,7.4000,292,651.5,1394.5,290,292,184,40040,1
446,7.4167,292,651.5,1394.5,290,292,184,40071,1
447,7.4333,291,652.0,1394.5,290,291,184,40059,1
448,7.4500,291,653.0,1394.5,290,291,184,40065,1
449,7.4667,292,653.5,1394.0,291,292,183,40068,1
450,7.4833,291,653.0,1394.5,290,292,184,40032,1
451,7.5000,291,654.0,1394.5,290,291,184,40063,1
452,7.5167,291,654.0,1394.5,291,291,184,40056,1
453,7.5333,291,655.0,1394.5,291,291,184,40030,1
454,7.5500,291,656.0,1394.5,290,291,184,40026,1
455,7.5667,291,657.0,1394.0,289,291,183,39986,1
