frame,t,screen_diam_px(extent),run_px,vext_px,rim_w,rim_h,zoom_flow_cum,world_diam_est(extent/zoom),norm_screen,norm_world
846,14.2041,412,412,284,367.4,474.2,0.6078,677.8,0.975,1.007
847,14.2209,412,412,284,367.1,474.0,0.6084,677.1,0.975,1.006
848,14.2377,412,287,284,388.8,499.2,0.6084,677.1,0.975,1.006
849,14.2545,412,254,284,388.7,499.1,0.6084,677.2,0.975,1.006
850,14.2713,412,246,284,388.6,499.1,0.6082,677.4,0.975,1.006
851,14.2881,412,254,284,388.6,499.1,0.6085,677.1,0.975,1.006
852,14.3049,412,246,284,388.4,499.1,0.6076,678.1,0.975,1.008
853,14.3217,412,239,284,387.9,499.0,0.6077,678.0,0.975,1.008
854,14.3385,411,245,283,386.8,498.1,0.6079,676.1,0.967,1.003
855,14.3554,410,410,284,385.6,497.7,0.6078,674.5,0.959,0.999
856,14.3722,410,410,284,386.0,497.0,0.6075,674.9,0.959,1.0
857,14.389,410,410,282,384.7,495.7,0.6075,674.9,0.959,1.0
858,14.4058,411,411,283,384.2,494.0,0.6077,676.3,0.967,1.003
859,14.4226,409,409,282,364.6,470.0,0.6056,675.4,0.95,1.001
860,14.4394,410,410,282,364.9,470.9,0.605,677.7,0.959,1.007
