frame,t_s,diameter_px,centre_x,centre_y,run_ctr,span,height,comp_area,seed_ok
463,7.7000,1,455.0,24.0,1,1,1,1,0
464,7.7167,1,456.0,31.0,1,1,1,1,0
465,7.7333,1,465.0,37.0,1,1,1,1,0
466,7.7500,1,465.0,37.0,1,1,1,1,1
467,7.7667,1,465.0,37.0,1,1,1,1,1
468,7.7833,1,465.0,37.0,1,1,1,1,1
469,7.8000,78,481.5,31.5,35,130,64,3547,0
470,7.8167,83,478.0,33.0,35,133,67,3997,1
471,7.8333,95,471.0,34.5,38,141,70,4513,1
472,7.8500,103,466.0,36.5,34,150,74,5050,1
473,7.8667,105,464.0,39.0,37,156,79,5539,1
474,7.8833,113,458.0,40.5,40,162,82,6084,1
475,7.9000,122,452.5,42.5,40,171,86,6733,1
476,7.9167,127,448.0,44.5,45,177,90,7283,1
477,7.9333,142,439.5,47.0,44,192,95,8024,1
478,7.9500,149,435.0,49.0,48,197,99,8794,1
479,7.9667,156,430.5,51.0,52,204,103,9529,1
480,7.9833,163,426.0,53.0,55,211,107,10239,1
481,8.0000,42,446.5,55.0,36,214,111,3653,1
482,8.0167,41,430.0,56.5,36,222,114,3780,1
483,8.0333,40,418.5,58.5,36,236,118,3914,1
484,8.0500,39,412.0,60.5,37,239,122,4035,1
485,8.0667,39,403.0,62.5,37,247,126,4252,1
486,8.0833,39,470.0,64.5,36,257,130,4297,1
487,8.1000,39,326.0,66.5,36,264,134,4427,1
488,8.1167,39,374.0,68.5,37,271,138,4563,1
489,8.1333,38,364.5,71.5,35,277,144,4675,1
490,8.1500,39,458.0,73.0,33,285,147,4765,1
491,8.1667,39,346.0,74.5,34,297,150,4976,1
492,8.1833,199,307.0,77.5,104,309,156,20807,1
493,8.2000,38,186.5,79.5,35,308,160,5179,1
494,8.2167,38,307.5,81.5,36,315,164,5245,1
495,8.2333,37,423.0,84.0,34,325,169,5398,1
496,8.2500,67,124.0,85.5,34,363,172,6004,1
497,8.2667,68,119.5,87.5,35,363,176,6178,0
498,8.2833,193,300.0,89.5,124,386,180,26265,0
499,8.3000,191,287.0,91.5,129,400,184,27211,0
500,8.3167,191,275.0,93.5,131,392,188,27938,0
501,8.3333,192,332.5,95.5,133,393,192,28907,1
502,8.3500,248,161.5,97.5,140,392,196,29610,1
503,8.3667,249,153.0,99.0,143,397,199,30358,1
504,8.3833,255,147.0,101.0,146,398,203,31159,1
505,8.4000,256,142.5,103.0,149,398,207,31874,1
506,8.4167,255,135.0,104.5,155,403,210,32798,1
507,8.4333,256,127.5,106.5,157,397,214,33509,1
508,8.4500,250,124.5,109.0,157,391,219,33988,1
509,8.4667,244,121.5,111.0,163,386,223,34376,1
510,8.4833,231,115.0,111.5,168,378,224,34484,0
511,8.5000,2,183.5,111.0,2,2,1,2,0
512,8.5167,220,109.5,115.5,171,365,232,34573,0
513,8.5333,210,104.5,118.0,173,358,237,34634,1
514,8.5500,203,101.0,120.5,175,351,242,34508,1
515,8.5667,192,95.5,122.0,177,344,245,34262,1
516,8.5833,188,93.5,123.5,176,337,248,33951,1
517,8.6000,180,89.5,125.5,175,330,252,33565,1
518,8.6167,179,232.0,113.0,175,323,227,27923,1
519,8.6333,176,176.5,114.5,173,315,230,27613,1
520,8.6500,174,169.5,116.5,170,306,234,27166,1
521,8.6667,174,180.5,118.0,173,299,237,26616,1
522,8.6833,175,200.0,119.5,169,291,240,25980,1
523,8.7000,174,192.5,122.5,168,282,242,25363,1
524,8.7167,172,186.5,127.5,167,274,238,24589,1
525,8.7333,172,95.5,133.0,167,265,235,26969,1
526,8.7500,169,171.0,136.5,166,257,230,23035,1
527,8.7667,171,129.0,139.5,166,248,216,21978,1
528,8.7833,169,116.0,140.0,163,240,205,20834,1
529,8.8000,166,89.5,141.5,162,231,196,19762,1
530,8.8167,166,126.5,142.5,161,222,182,18552,1
531,8.8333,165,130.0,145.0,160,213,173,17546,1
532,8.8500,164,99.5,148.5,147,204,162,16491,1
533,8.8667,165,98.0,153.5,144,194,158,15528,1
534,8.8833,163,83.0,159.0,144,186,153,14649,1
535,8.9000,162,80.5,164.5,135,177,150,13750,1
536,8.9167,158,83.5,170.0,131,167,145,12854,1
537,8.9333,158,78.5,176.0,128,158,141,12013,1
538,8.9500,148,73.5,182.5,123,148,138,11216,1
539,8.9667,139,69.0,188.5,118,139,134,10477,1
540,8.9833,129,64.0,195.5,117,130,132,9752,1
541,9.0000,120,59.5,202.0,116,120,129,9075,1
542,9.0167,111,55.0,208.5,111,111,126,8373,1
543,9.0333,101,50.0,215.0,101,101,123,7701,1
544,9.0500,92,45.5,221.5,91,92,120,7057,1
545,9.0667,82,40.5,228.5,81,82,118,6404,1
546,9.0833,73,36.0,237.0,71,73,115,5758,1
547,9.1000,63,31.0,244.0,61,63,113,5052,1
548,9.1167,53,26.0,251.5,51,53,112,4361,1
549,9.1333,43,21.0,259.0,41,43,109,3624,1
550,9.1500,34,16.5,267.0,31,34,109,2843,1
551,9.1667,24,11.5,274.5,21,26,102,1967,1
552,9.1833,15,7.0,278.5,11,16,98,1112,0
553,9.2000,4,1.5,263.5,3,4,48,119,0
554,9.2167,1,0.0,172.0,1,1,1,1,0
555,9.2333,13,159.0,288.0,2,95,79,226,0
556,9.2500,13,159.0,288.0,2,95,79,226,0
557,9.2667,13,159.0,288.0,2,95,79,226,0
558,9.2833,13,159.0,288.0,2,95,79,226,0
559,9.3000,13,159.0,288.0,2,95,79,226,0
560,9.3167,13,159.0,288.0,2,95,79,226,0
561,9.3333,13,159.0,288.0,2,95,79,226,0
562,9.3500,13,159.0,288.0,2,95,79,226,0
563,9.3667,12,171.5,288.5,2,117,78,348,0
564,9.3833,12,171.5,288.5,2,117,78,348,0
565,9.4000,12,171.5,288.5,2,117,78,348,0
566,9.4167,12,171.5,288.5,2,117,78,348,0
567,9.4333,12,171.5,288.5,2,117,78,349,0
568,9.4500,12,171.5,288.5,2,117,78,349,0
569,9.4667,12,171.5,288.5,2,117,78,349,0
570,9.4833,12,171.5,288.5,2,117,78,349,0
571,9.5000,12,171.5,288.5,2,117,78,349,0
572,9.5167,12,171.5,288.5,2,117,78,349,0
573,9.5333,12,171.5,288.5,2,117,78,349,0
574,9.5500,12,171.5,288.5,2,117,78,349,0
575,9.5667,12,171.5,288.5,2,117,78,350,0
