frame,blob_id,cx,cy,w,h,area
742,1,1170.9,1237.7,152,188,7968
742,2,876.3,1291.0,120,136,8640
742,3,890.9,1477.5,108,192,5664
743,0,1184.7,1035.4,112,120,6848
743,1,1157.8,1237.2,148,184,7840
743,2,857.8,1294.3,120,132,8576
743,3,872.0,1451.5,72,176,3904
744,0,1169.0,1033.5,112,124,6784
744,1,1143.6,1235.7,152,188,8096
744,2,841.3,1292.9,120,136,8512
744,3,855.9,1444.4,68,140,3952
745,0,1153.8,1032.3,112,124,6800
745,1,1128.6,1234.3,152,188,8128
745,2,821.8,1301.2,120,132,8384
745,3,824.6,1473.0,148,168,5600
746,0,1139.2,1030.9,116,124,6880
746,1,1115.6,1232.0,152,188,8144
746,2,803.8,1314.9,120,132,8256
746,3,824.1,1470.6,80,140,4720
747,0,1124.2,1029.3,112,124,6752
747,1,1101.9,1231.3,148,188,8144
747,2,784.1,1334.4,116,132,8160
747,3,806.2,1485.2,84,128,4512
748,0,1109.0,1028.4,112,120,6736
748,1,1284.6,1074.1,84,60,2176
748,2,1087.5,1230.1,144,188,8256
748,3,764.6,1359.7,120,128,7856
748,4,787.3,1498.6,80,112,3600
749,0,1094.0,1028.1,112,124,6752
749,1,1281.1,1070.3,96,88,2992
749,2,1073.6,1229.2,148,188,8160
749,3,745.9,1388.9,116,128,7664
749,4,767.7,1514.5,68,88,2544
750,0,1284.1,1049.1,108,168,4864
750,1,1078.5,1027.8,116,124,6848
750,2,1059.9,1228.3,148,188,8192
750,3,731.6,1388.6,116,128,7840
750,4,753.5,1514.1,68,84,2448
751,0,1299.7,822.5,56,108,2496
751,1,1280.6,1038.7,124,172,6384
751,2,1063.9,1028.1,116,124,6864
751,3,1045.9,1228.8,144,184,8144
751,4,712.7,1423.8,112,124,7424
752,0,1294.6,829.9,68,116,3952
752,1,1271.7,1032.9,132,184,7088
752,2,1048.4,1028.1,112,120,6736
752,3,1031.7,1229.3,148,192,8336
752,4,694.9,1462.7,112,124,7136
753,0,1286.9,832.2,84,116,5072
753,1,1259.5,1032.5,148,184,7120
753,2,1033.7,1029.1,112,124,6912
753,3,1018.3,1231.1,148,188,8464
753,4,678.1,1494.6,108,92,5248
754,0,1278.8,835.5,96,112,5792
754,1,1246.8,1034.1,148,184,6976
754,2,1019.0,1032.1,116,124,6976
754,3,1004.8,1231.8,148,188,8368
755,0,1265.4,837.2,104,116,5792
755,1,1234.6,1036.6,152,188,7152
755,2,1004.5,1033.6,112,124,6864
755,3,991.4,1233.8,148,188,8656
756,0,1252.9,840.2,104,112,5760
756,1,1222.4,1038.0,144,188,7120
756,2,990.6,1036.7,116,124,6976
756,3,979.6,1234.8,144,192,8288
757,0,1239.6,841.9,108,116,5760
757,1,1210.1,1041.7,148,184,7152
757,2,977.0,1040.7,112,124,6992
757,3,969.1,1232.7,144,184,7536
758,0,1227.2,845.7,108,116,5856
758,1,1198.6,1044.1,148,184,7376
758,2,963.0,1044.5,116,124,7120
758,3,956.6,1232.3,144,188,6848
759,0,1214.8,849.0,108,116,5808
759,1,1187.4,1047.9,148,184,7296
759,2,949.6,1049.0,112,124,7024
759,3,958.4,1216.7,68,164,5120
760,0,1203.1,852.7,108,116,5872
760,1,1176.6,1052.0,144,188,7376
760,2,936.6,1052.9,112,124,7024
760,3,930.0,1239.4,136,192,6496
761,0,1191.3,857.3,108,116,5952
761,1,1165.2,1056.4,148,188,7440
761,2,923.4,1057.8,116,124,7232
761,3,920.7,1242.1,128,188,6144
762,0,1179.6,861.5,108,116,5952
762,1,1154.8,1059.3,144,184,7616
762,2,909.8,1063.0,112,124,7376
762,3,913.7,1242.3,96,188,5648
763,0,1168.2,866.4,108,116,6080
763,1,1143.4,1065.5,144,184,7456
763,2,896.9,1068.0,112,124,7328
763,3,904.4,1244.2,76,188,5456
764,0,1156.3,871.5,108,120,6208
764,1,1132.5,1071.0,144,188,7680
764,2,884.7,1074.2,112,124,7328
764,3,894.8,1245.9,72,180,5280
765,0,1145.4,876.5,108,112,5984
765,1,1123.3,1074.6,144,188,7488
765,2,871.6,1079.8,116,128,7568
765,3,885.0,1248.9,72,172,5120
766,0,1134.4,881.4,108,116,6000
766,1,1112.7,1079.8,144,184,7616
766,2,858.9,1086.1,116,124,7536
766,3,873.8,1250.3,76,160,5072
766,4,809.7,1328.8,88,64,2304
767,0,1123.2,886.9,108,120,6192
767,1,1101.5,1086.5,144,188,7600
767,2,846.8,1091.5,116,124,7424
767,3,840.3,1284.4,152,192,7552
768,0,1111.9,892.2,108,116,6160
768,1,1092.0,1092.1,144,188,7552
768,2,834.1,1098.7,116,124,7472
768,3,827.2,1294.3,152,192,7760
769,0,1101.1,897.9,108,116,6160
769,1,1082.0,1096.9,144,184,7648
769,2,821.6,1104.7,116,128,7488
769,3,815.1,1303.5,148,188,7920
770,0,1090.3,903.5,108,120,6256
770,1,1071.8,1103.1,140,188,7728
770,2,807.1,1113.1,116,128,7728
770,3,805.7,1312.4,140,192,8672
771,0,1079.6,910.4,108,116,6336
771,1,1062.0,1108.2,144,188,7664
771,2,793.0,1127.5,116,128,7584
771,3,796.1,1325.3,144,192,9104
772,0,1068.4,915.1,108,116,6272
772,1,1051.7,1115.3,140,188,7792
772,2,778.7,1147.4,116,128,7600
772,3,786.5,1342.7,152,188,9424
773,0,1057.6,922.0,112,116,6304
773,1,1041.0,1120.2,140,184,7888
773,2,763.7,1173.8,116,124,7488
773,3,774.9,1366.0,148,188,9680
774,0,1046.9,927.0,108,116,6320
