frame,blob_id,cx,cy,w,h,area
885,0,1219.4,1388.5,76,92,3440
885,1,1195.3,1519.9,112,124,3824
886,0,1218.8,1465.3,128,224,7408
887,0,1243.5,1407.3,84,92,3600
887,1,1218.7,1540.2,116,124,3776
888,0,1252.8,1417.3,84,92,3712
888,1,1227.0,1551.5,120,128,3824
889,0,1245.8,1495.4,132,220,7456
890,0,1261.8,1436.9,84,92,3472
890,1,1233.8,1568.5,116,124,3776
891,0,1245.9,1514.5,132,224,7392
892,0,1241.5,1520.3,132,220,7120
893,0,1235.2,1526.0,132,224,7376
894,0,1242.0,1460.2,84,96,3376
894,1,1215.2,1590.6,112,124,3872
895,0,1217.6,1535.5,132,224,7376
896,0,1220.7,1467.0,84,88,3344
896,1,1195.6,1597.6,112,128,3856
897,0,1195.2,1538.3,132,220,7440
898,0,1197.5,1474.3,84,92,3296
898,1,1172.0,1603.4,116,124,4048
899,0,1169.5,1548.1,132,216,6960
900,0,1167.7,1477.0,84,96,3072
900,1,1145.7,1607.3,112,124,3872
901,0,1139.7,1551.1,128,220,7168
902,0,1124.6,1552.1,128,224,7360
903,0,1300.8,1431.6,64,116,2032
903,1,1119.8,1474.7,84,96,3280
903,2,1102.1,1609.3,112,124,4320
904,0,1301.5,1290.0,48,88,1984
904,1,1105.3,1476.1,84,84,3424
904,2,1087.6,1610.7,112,124,4192
905,0,1293.5,1292.5,64,88,2944
905,1,1089.6,1478.1,84,96,3616
905,2,1072.2,1610.7,112,124,4144
906,0,1280.5,1292.5,80,92,3328
906,1,1073.8,1477.7,84,96,3680
906,2,1056.4,1609.7,112,124,4240
907,0,1264.9,1289.0,80,84,3120
907,1,1048.2,1548.4,128,224,8096
908,0,1248.8,1287.4,84,84,3040
908,1,1040.4,1475.9,84,92,3648
908,2,1026.3,1607.1,112,124,4240
909,0,1237.4,1285.6,80,76,2384
909,1,1023.5,1474.3,84,96,3776
909,2,1010.4,1605.6,112,124,4192
910,0,1220.2,1283.5,80,76,2224
910,1,1007.8,1472.1,80,92,3584
910,2,995.0,1603.3,112,128,4272
911,0,1201.1,1284.1,80,80,2208
911,1,990.7,1470.0,84,88,3600
911,2,979.7,1601.5,112,124,4320
912,0,1184.5,1285.2,76,92,2752
912,1,976.3,1466.3,80,92,3232
912,2,963.8,1598.3,112,124,4304
913,0,1171.4,1281.0,80,88,3056
913,1,953.7,1540.2,112,224,7472
914,0,1292.7,1273.7,84,116,2416
914,1,1155.4,1278.3,80,92,3152
914,2,1129.7,1417.4,104,124,2224
914,3,938.2,1534.6,100,224,7024
915,0,1286.3,1260.8,96,120,3296
915,1,1139.1,1275.6,80,92,3200
915,2,1124.1,1409.9,100,128,2976
915,3,922.6,1524.4,92,220,6448
916,0,1295.3,1124.5,60,88,2576
916,1,1272.5,1257.0,108,128,3440
916,2,1123.3,1273.4,80,88,3072
916,3,1111.6,1403.4,100,128,2864
916,4,906.5,1505.8,84,224,5888
917,0,1282.3,1123.1,76,84,2832
917,1,1260.5,1253.9,108,124,3232
917,2,1101.5,1333.6,112,220,6144
917,3,890.9,1482.8,88,188,5488
918,0,1266.6,1119.8,76,84,2848
918,1,1248.5,1249.0,104,124,2992
918,2,1084.6,1333.8,116,220,6160
918,3,874.3,1479.4,88,180,5376
919,0,1251.4,1118.2,80,84,2816
919,1,1233.2,1247.3,104,128,2992
919,2,1075.6,1265.7,80,88,3136
919,3,1062.5,1397.6,100,128,3296
919,4,857.4,1480.9,84,180,5568
920,0,1235.9,1116.0,80,84,2880
920,1,1217.6,1244.2,100,124,2960
920,2,1054.0,1328.8,108,220,6256
920,3,841.2,1489.4,88,180,5792
