frame,t_s,dxA,dyA,peakA,dxB,dyB,peakB
443,7.3667,1.82,8.41,152.3,-0.00,0.00,323.3
444,7.3833,1.74,8.30,149.8,-0.00,0.00,327.5
445,7.4000,1.74,8.30,152.8,0.00,0.00,253.4
446,7.4167,1.72,8.35,140.8,0.00,-0.00,331.6
447,7.4333,1.67,8.54,131.1,-0.00,0.00,332.0
448,7.4500,1.64,8.41,133.7,-0.00,0.00,332.0
449,7.4667,1.51,8.22,138.6,-0.00,-0.00,332.0
450,7.4833,1.52,8.36,124.5,-0.00,-0.00,332.0
451,7.5000,1.45,8.33,114.9,-0.00,-0.00,332.0
452,7.5167,1.50,8.20,108.3,-0.00,-0.00,332.0
453,7.5333,1.37,8.17,95.2,0.00,-0.00,332.0
454,7.5500,1.32,8.09,98.3,0.00,0.00,331.4
455,7.5667,0.54,8.61,95.3,0.00,0.00,332.0
456,7.5833,0.50,8.81,101.8,-0.00,0.00,332.0
457,7.6000,0.46,8.62,111.7,-0.00,-0.00,332.0
458,7.6167,0.36,8.39,112.2,0.00,0.00,332.0
459,7.6333,-0.24,11.55,109.4,0.00,-0.00,332.0
460,7.6500,0.07,8.54,105.7,-0.00,0.00,332.0
461,7.6667,-0.00,8.46,116.7,0.00,0.00,332.0
462,7.6833,-0.11,8.22,123.9,-0.00,-0.00,332.0
463,7.7000,-0.10,8.27,119.0,0.00,-0.00,332.0
464,7.7167,-0.21,8.33,124.6,-0.00,0.00,332.0
465,7.7333,-0.27,8.25,124.5,-0.00,0.00,312.1
466,7.7500,-0.00,0.00,470.2,0.00,0.00,332.0
467,7.7667,-0.00,0.00,470.2,0.00,0.00,332.0
468,7.7833,-0.00,0.00,470.2,0.00,0.00,332.0
469,7.8000,0.15,35.19,49.0,0.00,0.00,327.8
470,7.8167,-0.50,7.93,121.1,-0.00,0.00,323.3
471,7.8333,-0.43,7.89,123.3,0.00,-0.00,321.0
472,7.8500,-0.47,7.87,114.0,0.00,0.00,315.2
473,7.8667,-1.32,8.11,85.8,-0.00,-0.00,309.5
474,7.8833,-2.21,11.18,99.3,0.00,0.00,299.2
475,7.9000,-7.83,14.24,74.4,-0.00,0.00,289.2
476,7.9167,-1.39,8.58,90.5,-0.00,0.00,285.4
477,7.9333,-1.97,14.40,107.6,-0.00,0.00,279.1
478,7.9500,-1.04,8.27,76.0,0.00,0.00,272.0
479,7.9667,-1.50,8.27,74.3,0.00,-0.00,264.1
480,7.9833,-3.71,11.66,78.6,0.00,0.00,251.4
481,8.0000,-1.82,8.71,72.1,-0.01,0.01,245.9
